time,ID,Interval(sec),Transfer(MBytes),Bandwidth(MBits/sec)
2022-11-07 23:49:09.023296,5,0.00-1.00,1.61,13.5
2022-11-07 23:49:10.023235,5,1.00-2.00,1.81,15.2
2022-11-07 23:49:11.023260,5,2.00-3.00,1.80,15.1
2022-11-07 23:49:12.023421,5,3.00-4.00,1.44,12.1
2022-11-07 23:49:13.023262,5,4.00-5.00,2.18,18.3
2022-11-07 23:49:14.023262,5,5.00-6.00,1.81,15.2
2022-11-07 23:49:15.023262,5,6.00-7.00,1.80,15.1
2022-11-07 23:49:16.023262,5,7.00-8.00,1.80,15.1
2022-11-07 23:49:17.023259,5,8.00-9.00,1.80,15.1
2022-11-07 23:49:18.023263,5,9.00-10.00,1.80,15.1
2022-11-07 23:49:19.023311,5,10.00-11.00,1.79,15.0
2022-11-07 23:49:20.023259,5,11.00-12.00,1.78,15.0
2022-11-07 23:49:21.023259,5,12.00-13.00,1.81,15.2
2022-11-07 23:49:22.023276,5,13.00-14.00,1.82,15.3
2022-11-07 23:49:23.023261,5,14.00-15.00,1.82,15.2
2022-11-07 23:49:24.023260,5,15.00-16.00,1.82,15.2
2022-11-07 23:49:25.023265,5,16.00-17.00,1.80,15.1
2022-11-07 23:49:26.023262,5,17.00-18.00,1.80,15.1
2022-11-07 23:49:27.023259,5,18.00-19.00,1.81,15.2
2022-11-07 23:49:28.023259,5,19.00-20.00,1.81,15.2
2022-11-07 23:49:29.023261,5,20.00-21.00,1.80,15.1
2022-11-07 23:49:30.023224,5,21.00-22.00,1.81,15.2
2022-11-07 23:49:31.023262,5,22.00-23.00,1.80,15.1
2022-11-07 23:49:32.023263,5,23.00-24.00,1.81,15.2
2022-11-07 23:49:33.023263,5,24.00-25.00,1.80,15.1
2022-11-07 23:49:34.023274,5,25.00-26.00,1.80,15.1
2022-11-07 23:49:35.023264,5,26.00-27.00,1.81,15.2
2022-11-07 23:49:36.023262,5,27.00-28.00,1.80,15.1
2022-11-07 23:49:37.023266,5,28.00-29.00,1.82,15.2
2022-11-07 23:49:38.023266,5,29.00-30.00,1.84,15.4
2022-11-07 23:49:39.023259,5,30.00-31.00,1.82,15.3
2022-11-07 23:49:40.023269,5,31.00-32.00,1.82,15.3
2022-11-07 23:49:41.023266,5,32.00-33.00,1.81,15.2
2022-11-07 23:49:42.023269,5,33.00-34.00,1.80,15.1
2022-11-07 23:49:43.023264,5,34.00-35.00,1.80,15.1
2022-11-07 23:49:44.023274,5,35.00-36.00,1.81,15.2
2022-11-07 23:49:45.023271,5,36.00-37.00,1.79,15.0
2022-11-07 23:49:46.023267,5,37.00-38.00,1.82,15.3
2022-11-07 23:49:47.023268,5,38.00-39.00,1.81,15.2
2022-11-07 23:49:48.023267,5,39.00-40.00,1.78,14.9
2022-11-07 23:49:49.023268,5,40.00-41.00,1.81,15.2
2022-11-07 23:49:50.023267,5,41.00-42.00,1.80,15.1
2022-11-07 23:49:51.023259,5,42.00-43.00,1.80,15.1
2022-11-07 23:49:52.023268,5,43.00-44.00,1.79,15.0
2022-11-07 23:49:53.023263,5,44.00-45.00,1.80,15.1
2022-11-07 23:49:54.023269,5,45.00-46.00,1.81,15.2
2022-11-07 23:49:55.023284,5,46.00-47.00,1.80,15.1
2022-11-07 23:49:56.023263,5,47.00-48.00,1.82,15.2
2022-11-07 23:49:57.023264,5,48.00-49.00,1.80,15.1
2022-11-07 23:49:58.023266,5,49.00-50.00,1.81,15.2
2022-11-07 23:49:59.023268,5,50.00-51.00,1.82,15.3
2022-11-07 23:50:00.023262,5,51.00-52.00,1.80,15.1
2022-11-07 23:50:01.023267,5,52.00-53.00,1.82,15.3
2022-11-07 23:50:02.023263,5,53.00-54.00,1.79,15.0
2022-11-07 23:50:03.023262,5,54.00-55.00,1.79,15.0
2022-11-07 23:50:04.023260,5,55.00-56.00,1.79,15.0
2022-11-07 23:50:05.023266,5,56.00-57.00,1.74,14.6
2022-11-07 23:50:06.023266,5,57.00-58.00,1.76,14.7
2022-11-07 23:50:07.023268,5,58.00-59.00,1.78,14.9
