num,Longitude,Latitude,Altitude,Volt,Battery Level,time,Fix,Number of Satellite
1,-78.696109,35.7272781,0.0,12.587,100,2022-11-07 23:49:31.197536,6,10
2,-78.696109,35.7272781,0.001,12.587,100,2022-11-07 23:49:32.198004,6,10
3,-78.696109,35.7272781,0.001,12.587,100,2022-11-07 23:49:33.199087,6,10
4,-78.696109,35.7272781,0.001,12.587,100,2022-11-07 23:49:34.200059,6,10
5,-78.696109,35.7272781,0.001,12.587,100,2022-11-07 23:49:35.200706,6,10
6,-78.696109,35.7272781,0.001,12.587,100,2022-11-07 23:49:36.201851,6,10
7,-78.696109,35.7272781,0.001,12.587,100,2022-11-07 23:49:37.202236,6,10
8,-78.696109,35.7272781,0.001,12.587,100,2022-11-07 23:49:38.202594,6,10
9,-78.696109,35.7272781,0.001,12.489,99,2022-11-07 23:49:39.204608,6,10
10,-78.696109,35.7272781,0.07,12.094,99,2022-11-07 23:49:40.204682,6,10
11,-78.6961099,35.7272789,1.316,12.143,99,2022-11-07 23:49:41.204794,6,10
12,-78.6961111,35.7272799,3.262,12.193,99,2022-11-07 23:49:42.205689,6,10
13,-78.6961109,35.7272797,5.448,12.193,99,2022-11-07 23:49:43.206262,6,10
14,-78.6961104,35.7272794,7.747,12.193,99,2022-11-07 23:49:44.207058,6,10
15,-78.6961104,35.7272794,10.117,12.193,98,2022-11-07 23:49:45.207854,6,10
16,-78.6961107,35.7272796,12.531,12.193,98,2022-11-07 23:49:46.208851,6,10
17,-78.6961109,35.7272797,14.978,12.193,98,2022-11-07 23:49:47.209401,6,10
18,-78.6961109,35.7272797,17.435,12.193,98,2022-11-07 23:49:48.210247,6,10
19,-78.6961109,35.7272797,19.911,12.193,98,2022-11-07 23:49:49.210525,6,10
20,-78.696111,35.7272797,22.31,12.193,97,2022-11-07 23:49:50.211107,6,10
21,-78.696111,35.7272798,24.041,12.242,97,2022-11-07 23:49:51.212207,6,10
22,-78.6961111,35.7272798,24.693,12.242,97,2022-11-07 23:49:52.213322,6,10
23,-78.6961111,35.7272798,24.873,12.242,97,2022-11-07 23:49:53.214447,6,10
24,-78.6961111,35.7272799,24.938,12.242,97,2022-11-07 23:49:54.215581,6,10
25,-78.6961111,35.7272799,24.964,12.242,96,2022-11-07 23:49:55.216720,6,10
26,-78.6961112,35.7272799,24.974,12.242,96,2022-11-07 23:49:56.217531,6,10
27,-78.6961116,35.7272805,24.978,12.242,96,2022-11-07 23:49:57.218335,6,10
28,-78.6961149,35.7272856,24.978,12.242,96,2022-11-07 23:49:58.219290,6,10
29,-78.696122,35.7272964,24.975,12.242,96,2022-11-07 23:49:59.220274,6,10
30,-78.6961334,35.7273134,24.971,12.193,96,2022-11-07 23:50:00.220597,6,10
31,-78.6961491,35.7273373,24.968,12.193,95,2022-11-07 23:50:01.221016,6,10
32,-78.6961675,35.7273655,24.971,12.242,95,2022-11-07 23:50:02.221934,6,10
