Number,Longitude,Latitude,Altitude,Voltage,Battery Level,Time,Fix,Number of Satellites
1,-78.6961085,35.7272775,0,12.587,100,1670653315,6,10
2,-78.6961085,35.7272775,0,12.587,100,1670653316,6,10
3,-78.6961085,35.7272775,0.001,12.587,100,1670653317,6,10
4,-78.6961085,35.7272775,0.001,12.587,100,1670653318,6,10
5,-78.6961085,35.7272775,0.001,12.587,100,1670653319,6,10
6,-78.6961085,35.7272775,0.001,12.587,100,1670653320,6,10
7,-78.6961085,35.7272775,0.002,12.587,100,1670653321,6,10
8,-78.6961085,35.7272775,0.002,12.587,100,1670653322,6,10
9,-78.6961085,35.7272775,0.001,12.489,99,1670653323,6,10
10,-78.6961085,35.7272775,0.062,12.143,99,1670653324,6,10
11,-78.6961099,35.7272789,1.271,12.143,99,1670653325,6,10
12,-78.6961115,35.7272802,3.205,12.193,99,1670653326,6,10
13,-78.696111,35.7272799,5.391,12.193,99,1670653327,6,10
14,-78.6961103,35.7272793,7.686,12.193,99,1670653328,6,10
15,-78.6961102,35.7272792,10.057,12.193,98,1670653329,6,10
16,-78.6961105,35.7272793,12.468,12.193,98,1670653330,6,10
17,-78.6961106,35.7272794,14.908,12.193,98,1670653331,6,10
18,-78.6961106,35.7272793,17.365,12.193,98,1670653332,6,10
19,-78.6961105,35.7272793,19.831,12.193,98,1670653333,6,10
20,-78.6961104,35.7272792,22.311,12.193,97,1670653334,6,10
21,-78.6961105,35.7272792,24.794,12.193,97,1670653335,6,10
22,-78.6961105,35.7272792,26.662,12.193,97,1670653336,6,10
23,-78.6961106,35.7272794,29.148,12.193,97,1670653337,6,10
24,-78.6961107,35.7272795,31.642,12.193,97,1670653338,6,10
25,-78.6961108,35.7272796,34.133,12.193,96,1670653339,6,10
26,-78.6961109,35.7272796,36.633,12.193,96,1670653340,6,10
27,-78.696111,35.7272797,39.126,12.193,96,1670653341,6,10
28,-78.6961111,35.7272798,41.626,12.193,96,1670653342,6,10
29,-78.6961112,35.7272798,44.12,12.193,96,1670653343,6,10
30,-78.6961113,35.7272799,46.594,12.193,95,1670653344,6,10
31,-78.6961113,35.72728,48.607,12.242,95,1670653345,6,10
32,-78.6961113,35.7272799,49.554,12.242,95,1670653346,6,10
33,-78.6961111,35.7272798,49.822,12.242,95,1670653347,6,10
34,-78.6961112,35.7272798,49.91,12.242,95,1670653348,6,10
35,-78.6961112,35.7272798,49.946,12.242,95,1670653349,6,10
36,-78.6961113,35.7272799,49.964,12.242,94,1670653350,6,10
37,-78.6961151,35.7272796,49.97,12.242,94,1670653351,6,10
38,-78.6961268,35.7272787,49.972,12.242,94,1670653352,6,10
39,-78.6961471,35.727277,49.971,12.242,94,1670653353,6,10
40,-78.696177,35.7272748,49.97,12.193,94,1670653354,6,10
41,-78.696215,35.7272719,49.974,12.193,93,1670653355,6,10
42,-78.6962582,35.727269,49.975,12.193,93,1670653356,6,10
43,-78.6963049,35.727266,49.98,12.193,93,1670653357,6,10
44,-78.6963537,35.727263,49.985,12.193,93,1670653358,6,10
45,-78.696404,35.72726,49.991,12.193,93,1670653359,6,10
46,-78.6964529,35.727257,49.998,12.242,93,1670653360,6,10
47,-78.6964962,35.7272542,50.003,12.242,92,1670653361,6,10
48,-78.6965285,35.7272518,50.007,12.242,92,1670653362,6,10
49,-78.6965454,35.7272481,50.008,12.242,92,1670653363,6,10
50,-78.6965483,35.7272381,50.012,12.242,92,1670653364,6,10
51,-78.696546,35.7272199,50.01,12.193,92,1670653365,6,10
52,-78.696543,35.7271934,50.011,12.193,92,1670653366,6,10
53,-78.6965404,35.7271607,50.009,12.193,91,1670653367,6,10
54,-78.6965386,35.7271241,50.007,12.193,91,1670653368,6,10
55,-78.6965373,35.727085,50.007,12.193,91,1670653369,6,10
56,-78.6965362,35.7270444,50.006,12.193,91,1670653370,6,10
57,-78.6965351,35.7270029,50.006,12.193,91,1670653371,6,10
58,-78.6965338,35.7269608,50.007,12.193,90,1670653372,6,10
59,-78.6965323,35.7269182,50.007,12.193,90,1670653373,6,10
60,-78.6965305,35.7268753,50.007,12.193,90,1670653374,6,10
61,-78.6965285,35.7268319,50.006,12.193,90,1670653375,6,10
62,-78.6965264,35.7267883,50.005,12.193,90,1670653376,6,10
63,-78.6965241,35.7267444,50.003,12.193,90,1670653377,6,10
64,-78.6965219,35.7267002,50.001,12.193,89,1670653378,6,10
65,-78.6965203,35.726667,50.001,12.193,89,1670653379,6,10
66,-78.6965175,35.7266116,50,12.193,89,1670653380,6,10
67,-78.6965154,35.7265673,50,12.193,89,1670653381,6,10
68,-78.6965133,35.726523,50,12.193,89,1670653382,6,10
69,-78.6965118,35.7264898,49.998,12.193,89,1670653383,6,10
70,-78.6965097,35.7264454,49.996,12.193,88,1670653384,6,10
71,-78.6965076,35.7264011,49.996,12.193,88,1670653385,6,10
72,-78.6965055,35.7263566,49.997,12.193,88,1670653386,6,10
73,-78.6965033,35.7263123,49.997,12.193,88,1670653387,6,10
74,-78.6965012,35.7262678,49.997,12.193,88,1670653388,6,10
75,-78.6964991,35.7262234,49.997,12.193,87,1670653389,6,10
76,-78.696497,35.7261789,49.999,12.193,87,1670653390,6,10
77,-78.696495,35.7261346,50.001,12.193,87,1670653391,6,10
78,-78.6964928,35.7260901,50,12.193,87,1670653392,6,10
79,-78.6964908,35.7260456,50.001,12.193,87,1670653393,6,10
80,-78.6964887,35.7260012,50,12.193,87,1670653394,6,10
81,-78.6964866,35.7259567,49.999,12.193,86,1670653395,6,10
82,-78.6964845,35.7259122,49.998,12.193,86,1670653396,6,10
83,-78.6964824,35.7258676,49.996,12.193,86,1670653397,6,10
84,-78.6964803,35.7258231,49.995,12.193,86,1670653398,6,10
85,-78.6964781,35.7257785,49.994,12.193,86,1670653399,6,10
86,-78.6964761,35.7257339,49.994,12.193,85,1670653400,6,10
87,-78.696474,35.7256893,49.994,12.193,85,1670653401,6,10
88,-78.6964719,35.7256448,49.995,12.193,85,1670653402,6,10
89,-78.6964698,35.7256002,49.996,12.193,85,1670653403,6,10
90,-78.6964676,35.7255556,49.998,12.193,85,1670653404,6,10
91,-78.6964655,35.7255109,49.997,12.193,85,1670653405,6,10
92,-78.6964634,35.7254664,50,12.193,84,1670653406,6,10
93,-78.6964613,35.7254217,50,12.193,84,1670653407,6,10
94,-78.6964592,35.7253771,50.001,12.193,84,1670653408,6,10
95,-78.6964571,35.7253323,50,12.193,84,1670653409,6,10
96,-78.696455,35.7252877,50,12.193,84,1670653410,6,10
97,-78.6964535,35.7252541,50,12.193,84,1670653411,6,10
98,-78.6964509,35.7251984,50.002,12.193,83,1670653412,6,10
99,-78.6964488,35.7251536,50.003,12.193,83,1670653413,6,10
100,-78.6964467,35.725109,50,12.193,83,1670653414,6,10
101,-78.6964445,35.7250642,50,12.193,83,1670653415,6,10
102,-78.6964424,35.7250195,49.999,12.193,83,1670653416,6,10
103,-78.6964409,35.7249859,50,12.193,82,1670653417,6,10
104,-78.6964387,35.7249411,50,12.193,82,1670653418,6,10
105,-78.6964366,35.7248964,50,12.193,82,1670653419,6,10
106,-78.6964345,35.7248516,50.001,12.193,82,1670653420,6,10
107,-78.6964323,35.7248069,50.003,12.193,82,1670653421,6,10
108,-78.6964302,35.7247621,50.006,12.193,82,1670653422,6,10
109,-78.6964281,35.7247173,50.009,12.193,81,1670653423,6,10
110,-78.696426,35.7246725,50.01,12.193,81,1670653424,6,10
111,-78.6964239,35.7246278,50.009,12.193,81,1670653425,6,10
112,-78.6964218,35.7245829,50.006,12.193,81,1670653426,6,10
113,-78.6964197,35.7245382,50.005,12.193,81,1670653427,6,10
114,-78.6964177,35.7244933,50.004,12.193,80,1670653428,6,10
115,-78.6964155,35.7244484,50.004,12.193,80,1670653429,6,10
116,-78.6964134,35.7244035,50.003,12.193,80,1670653430,6,10
117,-78.6964114,35.7243586,50.002,12.193,80,1670653431,6,10
118,-78.6964092,35.7243137,50.003,12.193,80,1670653432,6,10
119,-78.6964071,35.7242688,50.004,12.193,80,1670653433,6,10
120,-78.696405,35.7242239,50.005,12.193,79,1670653434,6,10
121,-78.6964029,35.724179,50.005,12.193,79,1670653435,6,10
122,-78.6964008,35.7241341,50.005,12.193,79,1670653436,6,10
123,-78.6963986,35.7240892,50.003,12.193,79,1670653437,6,10
124,-78.6963965,35.7240442,50.003,12.193,79,1670653438,6,10
125,-78.6963944,35.7239993,50.003,12.193,78,1670653439,6,10
126,-78.6963923,35.7239544,50.002,12.193,78,1670653440,6,10
127,-78.6963902,35.7239095,50,12.193,78,1670653441,6,10
128,-78.6963881,35.7238646,50,12.193,78,1670653442,6,10
129,-78.696386,35.7238196,50.001,12.193,78,1670653443,6,10
130,-78.6963839,35.7237747,50.002,12.193,78,1670653444,6,10
131,-78.6963818,35.7237297,50.002,12.193,77,1670653445,6,10
132,-78.6963796,35.7236848,50.003,12.193,77,1670653446,6,10
133,-78.6963775,35.7236399,50,12.193,77,1670653447,6,10
134,-78.6963754,35.7235951,49.999,12.193,77,1670653448,6,10
135,-78.6963733,35.7235501,50,12.193,77,1670653449,6,10
136,-78.6963712,35.7235052,50,12.193,76,1670653450,6,10
137,-78.6963691,35.7234602,50,12.193,76,1670653451,6,10
138,-78.6963671,35.7234153,50,12.193,76,1670653452,6,10
139,-78.696365,35.7233703,50.001,12.193,76,1670653453,6,10
140,-78.6963629,35.7233259,50.003,12.193,76,1670653454,6,10
141,-78.696361,35.7232843,50.007,12.242,76,1670653455,6,10
142,-78.6963595,35.7232492,50.008,12.242,75,1670653456,6,10
143,-78.6963586,35.7232238,50.007,12.242,75,1670653457,6,10
144,-78.6963583,35.7232114,50.005,12.242,75,1670653458,6,10
145,-78.6963586,35.7232109,50.002,12.242,75,1670653459,6,10
146,-78.6963594,35.7232197,50,12.242,75,1670653460,6,10
147,-78.6963608,35.7232362,49.997,12.242,75,1670653461,6,10
148,-78.6963628,35.7232606,49.996,12.193,74,1670653462,6,10
149,-78.6963655,35.7232911,49.996,12.193,74,1670653463,6,10
150,-78.6963678,35.7233169,49.998,12.193,74,1670653464,6,10
151,-78.6963711,35.7233538,50,12.193,74,1670653465,6,10
152,-78.6963745,35.7233927,50.001,12.193,74,1670653466,6,10
153,-78.6963782,35.7234329,50,12.193,73,1670653467,6,10
154,-78.6963819,35.7234743,49.998,12.193,73,1670653468,6,10
