Time,UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%]
1669260823,0,1,-87,87,76,5,40,1,0.0032,0,2.6,0,0,0.000309,0
1669260824,0,1,-87,87,5.7,3,40,1,0.017,0,2.6,22,0,0.137,0
1669260825,0,1,-87,87,5,0,40,0,0,0,2.6,0,0,0.021,0
1669260826,0,1,-87,87,5.5,15,40,1,0.0044,0,2.6,15,0,0.023,0
1669260827,0,1,-87,87,5.1,0,40,0,0,0,2.6,0,0,0,0
1669260828,0,1,-87,87,4.9,14,40,1,0.017,0,2.6,16,65,0.061,0
1669260829,0,1,-87,87,6.2,14,40,1,0.298,0,2.6,22,40,9.8,0
1669260830,0,1,-87,87,0.243,11,40,1,0.463,0,2.6,23,66,22,0
1669260831,0,1,-87,87,-0.894,11,40,1,0.474,0,2.6,23,90,23,0
1669260832,0,1,-87,87,-2.7,11,40,1,0.478,0,2.6,23,116,22,0
1669260833,0,1,-87,87,3.2,11,40,1,0.468,0,2.6,23,139,22,0
1669260834,0,1,-87,87,0.147,12,40,1,0.476,0,2.6,23,164,22,0
1669260835,0,1,-87,87,7.7,11,40,1,0.474,0,2.6,23,182,22,0
1669260836,0,1,-87,87,4.8,11,40,1,0.498,0,2.6,23,235,23,0
1669260837,0,1,-87,87,-1.2,11,40,1,0.492,0,2.6,23,321,22,0
1669260838,0,1,-87,87,3.2,12,40,1,0.521,0,2.6,23,386,23,0
1669260839,0,1,-87,87,8.2,16,40,1,0.965,0,2.6,23,311,22,0
1669260840,0,1,-87,87,21,20,40,1,1.4,0,2.6,23,330,23,0
1669260841,0,1,-87,87,1.5,15,40,1,0.811,0,2.6,23,357,23,0
1669260842,0,1,-87,87,15,17,40,1,0.875,0,2.6,23,385,22,0
1669260843,0,1,-87,87,14,17,40,1,0.909,0,2.6,23,380,23,0
1669260844,0,1,-87,87,23,20,40,1,1.4,0,2.6,23,284,22,0
1669260845,0,1,-87,87,18,20,40,1,1.4,0,2.6,23,291,23,0
1669260846,0,1,-87,87,15,12,40,1,0.541,0,2.6,23,308,22,0
1669260847,0,1,-87,87,1.5,11,40,1,0.462,0,2.6,23,329,23,0
1669260848,0,1,-87,87,5,11,40,1,0.46,0,2.6,23,345,22,0
1669260849,0,1,-87,87,6.7,11,40,1,0.445,0,2.6,23,356,22,0
1669260850,0,1,-87,87,-5.1,11,40,1,0.448,0,2.6,23,358,22,0
1669260851,0,1,-87,87,-0.501,11,40,1,0.459,0,2.6,23,357,22,0
1669260852,0,1,-87,87,2.7,11,40,1,0.46,0,2.6,23,360,22,0
1669260853,0,1,-87,87,-2.9,11,40,1,0.471,0,2.6,23,368,23,0
1669260854,0,1,-87,87,0.085,11,40,1,0.462,0,2.6,23,383,22,0
1669260855,0,1,-87,87,7.3,11,40,1,0.491,0,2.6,23,373,22,0
1669260856,0,1,-87,87,26,20,40,1,1.3,0,2.6,23,279,23,0
1669260857,0,1,-87,87,5.9,14,40,1,0.776,0,2.6,23,292,23,0
1669260858,0,1,-87,87,2.6,11,40,1,0.431,0,2.6,23,331,22,0
1669260859,0,1,-87,87,-1.4,11,40,1,0.444,0,2.6,23,367,22,0
1669260860,0,1,-87,87,6.8,11,40,1,0.435,0,2.6,23,385,22,0
1669260861,0,1,-87,87,7,14,40,1,0.766,0,2.6,23,332,22,0
1669260862,0,1,-87,87,21,20,40,1,1.3,0,2.6,23,255,22,0
1669260863,0,1,-87,87,-0.418,11,40,1,0.495,0,2.6,23,288,22,0
1669260864,0,1,-87,87,2.4,11,40,1,0.438,0,2.6,23,309,23,0
1669260865,0,1,-87,87,-3,11,40,1,0.408,0,2.6,23,324,22,0
1669260866,0,1,-87,87,1.6,11,40,1,0.443,0,2.6,23,331,22,0
1669260867,0,1,-87,87,-7,11,40,1,0.447,0,2.6,23,332,23,0
1669260868,0,1,-87,87,1.2,11,40,1,0.444,0,2.6,23,334,23,0
1669260869,0,1,-87,87,1.1,11,40,1,0.441,0,2.6,23,336,23,0
1669260870,0,1,-87,87,2.5,11,40,1,0.445,0,2.6,23,346,22,0
1669260871,0,1,-87,87,-0.971,11,40,1,0.417,0,2.6,23,348,22,0
1669260872,0,1,-87,87,-5.5,11,40,1,0.444,0,2.6,23,386,22,0
1669260873,0,1,-87,87,7.8,15,40,1,0.724,0,2.6,23,340,22,0
1669260874,0,1,-87,87,21,21,40,1,1.3,0,2.6,23,283,21,0
1669260875,0,1,-87,87,-1.5,12,40,1,0.526,0,2.6,23,296,22,0
1669260876,0,1,-87,87,9.9,13,40,1,0.36,0,2.6,23,340,21,0
1669260877,0,1,-87,87,0.836,12,40,1,0.322,0,2.6,23,381,20,0
1669260878,0,1,-87,87,2.9,14,40,1,0.265,0,2.6,23,375,20,0
1669260879,0,1,-87,87,7.6,20,40,1,0.901,0,2.6,23,281,20,0
1669260880,0,1,-87,87,6.5,20,40,1,0.969,0,2.6,23,261,19,0
1669260881,0,1,-87,87,9.7,14,40,1,0.259,0,2.6,23,292,19,0
1669260882,0,1,-87,87,4.6,15,40,1,0.218,0,2.6,23,306,17,0
1669260883,0,1,-87,87,4.8,14,40,1,0.217,0,2.6,23,315,18,0
1669260884,0,1,-87,87,5.9,13,40,1,0.174,0,2.6,23,322,18,0
1669260885,0,1,-87,87,5.6,13,40,1,0.192,0,2.6,23,333,17,0
1669260886,0,1,-87,87,6.2,12,40,1,0.172,0,2.6,22,331,18,0
1669260887,0,1,-87,87,5.5,13,40,1,0.205,0,2.6,23,328,18,0
1669260888,0,1,-87,87,6.7,13,40,1,0.198,0,2.6,23,337,17,0
1669260889,0,1,-87,87,4.5,13,40,1,0.253,0,2.6,20,351,16,0
1669260890,0,1,-87,87,4.6,14,40,1,0.257,0,2.6,22,333,17,0
1669260891,0,1,-87,87,7,14,40,1,0.187,0,2.6,21,349,16,0
1669260892,0,1,-87,87,1.6,13,40,1,0.148,0,2.6,22,363,16,0
1669260893,0,1,-87,87,5.7,13,40,1,0.194,0,2.6,20,367,15,0
1669260894,0,1,-87,87,-0.52,14,40,1,0.205,0,2.6,19,368,14,0
1669260895,0,1,-87,87,10,16,40,1,0.664,0,2.6,18,311,14,0
1669260896,0,1,-87,87,7.1,18,40,1,0.783,0,2.6,17,303,13,0
1669260897,0,1,-87,87,12,17,40,1,0.541,0,2.6,15,284,11,0
1669260898,0,1,-87,87,2.9,13,40,1,0.232,0,2.6,14,316,10,0
1669260899,0,1,-87,87,8.9,12,40,1,0.174,0,2.6,14,352,11,0
1669260900,0,1,-87,87,4.2,12,40,1,0.144,0,2.6,14,381,10,0
1669260901,0,1,-87,87,6,12,40,1,0.142,0,2.6,11,379,8,0
1669260902,0,1,-87,87,4.5,11,40,1,0.121,0,2.6,11,383,7.9,0
1669260903,0,1,-87,87,8.4,13,40,1,0.369,0,2.6,10,356,7.1,0
1669260904,0,1,-87,87,11,14,40,1,0.382,0,2.6,9,315,6.2,0
1669260905,0,1,-87,87,8.1,14,40,1,0.393,0,2.6,9,291,6.1,0
1669260906,0,1,-87,87,7.4,13,40,1,0.418,0,2.6,7,294,5.8,0
1669260907,0,1,-87,87,8.8,14,40,1,0.393,0,2.6,8,298,5.6,0
1669260908,0,1,-87,87,4.9,13,40,1,0.263,0,2.6,9,256,6.1,0
1669260909,0,1,-87,87,3.8,12,40,1,0.119,0,2.6,8,216,5.4,0
1669260910,0,1,-87,87,5.9,10,40,3.5,0.04,84,2.6,7,155,5.2,84
1669260911,0,1,-87,87,9.9,11,40,1.4,0.115,6,2.6,6,209,4.1,6
1669260912,0,1,-87,87,5.5,11,40,1,0.093,0,2.6,5,218,3.7,0
1669260913,0,1,-87,87,7.8,11,40,1,0.094,0,2.6,4,219,3.7,0
1669260914,0,1,-87,87,3.6,11,40,1,0.071,0,2.6,4,236,2.8,0
1669260915,0,1,-87,87,3.3,11,40,2.1,0.063,30,2.6,4,219,3.1,30
1669260916,0,1,-87,87,4.9,10,40,1,0.101,0,2.6,3,238,2.2,0
1669260917,0,1,-87,87,5.4,11,40,1,0.062,0,2.6,2,242,2.2,0
1669260918,0,1,-87,87,5.3,11,40,1,0.09,0,2.6,3,248,2.6,0
1669260919,0,1,-87,87,7.4,11,40,1,0.06,0,2.6,2,257,1.9,0
1669260920,0,1,-87,87,3,9,40,1,0.078,0,2.6,2,267,1.6,0
1669260921,0,1,-87,87,7.8,9,40,1,0.044,0,2.6,2,284,1.6,0
1669260922,0,1,-87,87,9,11,40,1,0.048,0,2.6,0,295,1.4,0
1669260923,0,1,-87,87,5.6,11,40,1,0.077,0,2.6,0,312,1.3,0
1669260924,0,1,-87,87,7.6,11,40,1,0.062,0,2.6,2,331,1.8,0
1669260925,0,1,-87,87,4.5,9,40,1,0.052,0,2.1,1,345,1.2,0
1669260926,0,1,-87,87,9.4,14,40,1,0.111,0,2.1,1,338,1.3,0
1669260927,0,1,-87,87,8.7,13,40,1,0.105,0,2.1,2,328,1.4,0
