Time,Svr ID,Svr Interval Start,Svr Interval End,Svr Transfer,Svr Bandwidth
1669413200,5,0,1,0.817,6.69
1669413201,5,1,2,0.945,7.74
1669413202,5,2,3,0.966,7.9
1669413203,5,3,4,0.974,7.99
1669413204,5,4,5,0.95,7.78
1669413205,5,5,6,0.905,7.41
1669413206,5,6,7,0.928,7.6
1669413207,5,7,8,0.591,4.84
1669413208,5,8,9,1.29,10.8
1669413209,5,9,10,0.939,7.69
1669413210,5,10,11,0.947,7.76
1669413211,5,11,12,0.786,6.44
1669413212,5,12,13,1.14,9.58
1669413213,5,13,14,0.945,7.74
1669413214,5,14,15,0.947,7.76
1669413215,5,15,16,0.94,7.7
1669413216,5,16,17,0.959,7.85
1669413217,5,17,18,0.984,8.07
1669413218,5,18,19,0.952,7.8
1669413219,5,19,20,0.959,7.85
1669413220,5,20,21,0.966,7.92
1669413221,5,21,22,0.938,7.68
1669413222,5,22,23,0.614,5.03
1669413223,5,23,24,1.25,10.5
1669413224,5,24,25,0.962,7.88
1669413225,5,25,26,0.966,7.91
1669413226,5,26,27,0.884,7.24
1669413227,5,27,28,0.983,8.05
1669413228,5,28,29,0.942,7.71
1669413229,5,29,30,0.976,7.99
1669413230,5,30,31,0.945,7.74
1669413231,5,31,32,0.95,7.78
1669413232,5,32,33,0.977,8
1669413233,5,33,34,0.932,7.63
1669413234,5,34,35,0.936,7.67
1669413235,5,35,36,0.929,7.61
1669413236,5,36,37,0.943,7.73
1669413237,5,37,38,0.571,4.68
1669413238,5,38,39,1.28,10.8
1669413239,5,39,40,0.947,7.76
1669413240,5,40,41,0.933,7.65
1669413241,5,41,42,0.962,7.87
1669413242,5,42,43,0.96,7.87
1669413243,5,43,44,0.929,7.61
1669413244,5,44,45,0.966,7.92
1669413245,5,45,46,0.938,7.68
1669413246,5,46,47,0.957,7.84
1669413247,5,47,48,0.926,7.59
1669413248,5,48,49,0.95,7.79
1669413249,5,49,50,0.96,7.87
1669413250,5,50,51,0.813,6.66
1669413251,5,51,52,0.714,5.85
1669413252,5,52,53,0.621,5.09
1669413253,5,53,54,1.02,8.6
1669413254,5,54,55,0.884,7.24
1669413255,5,55,56,0.865,7.09
1669413256,5,56,57,0.822,6.73
1669413257,5,57,58,0.518,4.24
1669413258,5,58,59,1.04,8.69
1669413259,5,59,60,0.755,6.19
1669413260,5,60,61,0.79,6.47
1669413261,5,61,62,0.708,5.81
1669413262,5,62,63,0.72,5.9
1669413263,5,63,64,0.682,5.58
1669413264,5,64,65,0.663,5.43
1669413265,5,65,66,0.622,5.1
1669413266,5,66,67,0.675,5.53
1669413267,5,67,68,0.656,5.37
1669413268,5,68,69,0.239,1.96
1669413269,5,69,70,0.857,7.02
1669413270,5,70,71,0.535,4.38
1669413271,5,71,72,0.512,4.19
1669413272,5,72,73,0.474,3.88
1669413273,5,73,74,0.467,3.82
1669413274,5,74,75,0.454,3.72
1669413275,5,75,76,0.392,3.21
1669413276,5,76,77,0.383,3.14
1669413277,5,77,78,0.352,2.88
1669413278,5,78,79,0.356,2.92
1669413279,5,79,80,0.313,2.56
1669413280,5,80,81,0.311,2.55
1669413281,5,81,82,0.267,2.19
1669413282,5,82,83,0.163,1.33
1669413283,5,83,84,0,0
1669413284,5,84,85,0,0
1669413285,5,85,86,0.836,6.85
1669413286,5,86,87,0.236,1.93
1669413287,5,87,88,0.189,1.55
1669413288,5,88,89,0.177,1.45
1669413289,5,89,90,0.0339,0.278
1669413290,5,90,91,0,0
1669413291,5,91,92,0.00283,0.0232
1669413292,5,92,93,0,0
1669413293,5,93,94,0,0
1669413294,5,94,95,0.71,5.82
1669413295,5,95,96,0.0877,0.718
1669413296,5,96,97,0.0749,0.614
1669413297,5,97,98,0,0
1669413298,5,98,99,0,0
1669413299,5,99,100,0,0
1669413300,5,100,101,0.134,1.1
1669413301,5,101,102,0,0
1669413302,5,102,103,0.269,2.2
1669413303,5,103,104.01,0,0
1669413304,5,104.01,105,0,0
1669413305,5,105,106,0.174,1.42
1669413306,5,106,107,0,0
1669413307,5,107,108,0,0
1669413308,5,108,109,0.0424,0.348
1669413309,5,109,110,0.0467,0.382
1669413310,5,110,111,0.0297,0.243
1669413311,5,111,112,0,0
1669413312,5,112,113,0,0
1669413313,5,113,114,0,0
1669413314,5,114,115,0.106,0.869
1669413315,5,115,116,0,0
1669413316,5,116,117,0.0863,0.708
1669413317,5,117,118,0,0
1669413318,5,118,119,0.065,0.533
1669413319,5,119,120,0,0
1669413320,5,120,121,0,0
1669413321,5,121,122,0.00283,0.0232
1669413322,5,122,123,0,0
1669413323,5,123,124,0.00707,0.0579
