Time,eNB rnti,eNB DL cqi,eNB DL ri,eNB DL mcs,eNB DL brate [Mbps],eNB DL ACK,eNB DL NACK,eNB DL NACK:ACK [%],eNB UL pusch,eNB UL pucch,eNB UL phr,eNB UL mcs,eNB UL brate [Mbps],eNB UL ACK,eNB UL NACK,eNB UL NACK:ACK [%],eNB UL bsr [kilo]
1669413197,46,15,0,3,0.015,13,0,0,51.9,31.9,40,15,0.142,8,0,0,0
1669413198,46,15,0,13,0.0036,2,0,0,46.6,11.2,40,14,0.021,4,0,0,0
1669413199,46,15,0,0,0,0,0,0,0,8.3,0,0,0,0,0,0,0
1669413200,46,15,0,12,0.271,172,0,0,40.5,33.1,40,22,11,216,0,0,36.6
1669413201,46,15,0,11,0.468,308,0,0,40.1,0,40,23,22,360,2,0,88.3
1669413202,46,15,0,11,0.491,307,0,0,38.5,0,40,23,23,360,0,0,129
1669413203,46,15,0,11,0.486,314,0,0,39.9,0,40,23,22,366,1,0,131
1669413204,46,15,0,12,0.479,290,0,0,38.9,0,40,23,22,364,5,1,128
1669413205,46,15,0,11,0.48,290,0,0,39.9,0,40,23,22,357,3,0,128
1669413206,46,15,0,11,0.483,278,0,0,40.6,0,40,23,22,334,2,0,132
1669413207,46,15,0,12,0.503,316,0,0,40.1,0,40,23,23,363,0,0,128
1669413208,46,15,0,19,1.2,309,0,0,40,36.9,40,23,22,356,2,0,132
1669413209,46,15,0,15,0.804,332,0,0,39.8,0,40,23,23,361,0,0,132
1669413210,46,15,0,11,0.462,301,0,0,39.1,0,40,23,22,357,1,0,131
1669413211,46,15,0,11,0.459,302,0,0,39.7,0,40,23,22,364,2,0,128
1669413212,46,15,0,16,0.976,329,0,0,39.9,0,40,23,22,378,1,0,128
1669413213,46,15,0,11,0.435,286,0,0,39,0,40,23,23,359,0,0,128
1669413214,46,15,0,11,0.427,274,0,0,39,0,40,23,22,355,3,0,128
1669413215,46,15,0,11,0.431,268,0,0,38.8,0,40,23,22,358,3,0,128
1669413216,46,15,0,11,0.43,279,0,0,39.5,0,40,23,22,362,4,1,129
1669413217,46,15,0,11,0.43,283,0,0,39.5,0,40,23,22,366,2,0,131
1669413218,46,15,0,11,0.446,305,0,0,39.2,0,40,23,23,365,0,0,128
1669413219,46,15,0,11,0.441,280,0,0,40,0,40,23,22,357,1,0,132
1669413220,46,15,0,11,0.434,297,0,0,40,0,40,23,22,367,1,0,129
1669413221,46,15,0,11,0.42,260,0,0,39.4,0,40,23,22,358,4,1,130
1669413222,46,15,0,12,0.526,285,0,0,39.6,0,40,23,22,364,4,1,128
1669413223,46,15,0,16,0.949,299,0,0,40.6,0,40,23,22,351,2,0,131
1669413224,46,15,0,11,0.423,272,0,0,39.2,0,40,23,22,368,5,1,129
1669413225,46,15,0,11,0.437,291,0,0,40.2,0,40,23,22,359,1,0,129
1669413226,46,15,0,11,0.44,293,0,0,39.2,0,40,23,22,358,1,0,129
1669413227,46,15,0,17,0.942,295,0,0,40.7,0,40,23,22,354,3,0,129
1669413228,46,15,0,11,0.425,275,0,0,39.4,0,40,23,22,353,3,0,128
1669413229,46,15,0,11,0.434,275,0,0,39.2,0,40,23,22,357,4,1,128
1669413230,46,15,0,11,0.43,294,0,0,39.7,0,40,23,22,373,2,0,132
1669413231,46,15,0,11,0.436,286,0,0,39.8,0,40,23,22,358,2,0,132
1669413232,46,15,0,11,0.438,292,0,0,39.1,0,40,23,22,363,2,0,128
1669413233,46,15,0,11,0.442,293,0,0,40.2,0,40,23,23,349,0,0,131
1669413234,46,15,0,11,0.436,288,0,0,39.5,0,40,23,22,357,1,0,130
1669413235,46,15,0,11,0.441,297,0,0,39.6,0,40,23,23,360,0,0,130
1669413236,46,15,0,11,0.427,286,0,0,39.4,0,40,23,22,355,1,0,129
1669413237,46,15,0,12,0.499,288,0,0,40.4,0,40,23,22,361,2,0,130
1669413238,46,15,0,16,0.952,305,0,0,39.6,0,40,23,22,350,1,0,128
1669413239,46,15,0,11,0.438,297,0,0,40.1,0,40,23,23,359,0,0,128
1669413240,46,15,0,11,0.421,256,0,0,39.6,0,40,23,22,347,5,1,131
1669413241,46,15,0,11,0.431,294,0,0,39.8,0,40,23,22,365,1,0,132
1669413242,46,15,0,17,0.959,306,0,0,39.3,36.9,40,23,22,367,2,0,130
1669413243,46,15,0,11,0.44,279,0,0,39.7,0,40,23,22,355,2,0,129
1669413244,46,15,0,11,0.431,282,0,0,38.7,0,40,23,22,348,1,0,131
1669413245,46,15,0,11,0.435,282,0,0,39.6,0,40,23,22,357,3,0,131
1669413246,46,15,0,11,0.42,274,0,0,39.8,0,40,23,22,364,3,0,128
1669413247,46,15,0,11,0.43,288,0,0,40.2,0,40,23,22,359,2,0,128
1669413248,46,15,0,11,0.436,289,0,0,40.2,0,40,23,22,356,2,0,128
1669413249,46,15,0,11,0.432,277,0,0,38,0,40,23,22,356,3,0,128
1669413250,46,15,0,11,0.444,271,0,0,38,0,40,23,22,327,2,0,130
1669413251,46,15,0,11,0.409,202,0,0,35.5,0,40,23,22,276,3,1,130
1669413252,46,15,0,11,0.413,205,0,0,34.1,0,40,23,22,289,7,2,129
1669413253,46,15,0,18,1.1,220,0,0,34.5,0,40,23,21,333,14,4,131
1669413254,46,15,0,13,0.417,159,0,0,30.5,34.8,40,23,20,329,32,8,132
1669413255,46,15,0,13,0.374,167,0,0,29.6,0,40,23,20,326,34,9,128
1669413256,46,15,0,13,0.307,128,0,0,27,0,40,23,20,310,44,12,131
1669413257,46,15,0,17,0.479,109,0,0,26.4,0,40,23,19,308,61,16,128
1669413258,46,15,0,17,0.691,109,0,0,25.4,0,40,23,19,302,55,15,128
1669413259,46,15,0,16,0.269,76,0,0,23.4,35.5,40,23,18,288,69,19,128
1669413260,46,15,0,16,0.288,79,0,0,23.3,34.9,40,22,18,304,63,17,129
1669413261,46,15,0,15,0.254,82,0,0,23.2,0,40,22,17,292,71,19,130
1669413262,46,15,0,14,0.226,100,0,0,23.1,0,40,21,17,301,63,17,129
1669413263,46,15,0,14,0.207,96,0,0,23.5,0,40,21,16,301,65,17,129
1669413264,46,13,0,13,0.23,98,0,0,23.8,35.1,40,20,16,293,51,14,133
1669413265,46,15,0,13,0.216,105,0,0,22.8,0,40,19,15,311,48,13,138
1669413266,46,15,0,14,0.246,105,0,0,24.3,35.1,40,20,16,315,44,12,137
1669413267,46,15,0,12,0.266,120,0,0,23.6,36.2,40,18,15,328,34,9,134
1669413268,46,15,0,15,0.41,117,0,0,22.9,34.8,40,17,14,328,29,8,133
1669413269,46,15,0,16,0.688,166,0,0,21.6,33.4,40,16,13,332,30,8,134
1669413270,46,15,0,13,0.213,92,1,1,21.8,34.8,40,16,13,319,32,9,135
1669413271,46,15,0,12,0.219,111,0,0,22,0,40,16,13,331,30,8,140
1669413272,46,15,0,12,0.215,110,0,0,20.3,0,40,14,11,343,25,6,134
1669413273,46,15,0,13,0.187,105,1,0,19.3,0,40,13,10,345,29,7,139
1669413274,46,15,0,12,0.194,106,0,0,20.2,0,40,14,11,337,29,7,140
1669413275,46,15,0,13,0.152,79,0,0,18.8,0,40,13,9.3,332,39,10,143
1669413276,46,15,0,11,0.151,93,1,1,17.9,0,40,12,8.7,351,25,6,146
1669413277,46,15,0,12,0.146,94,0,0,17.9,36.9,40,12,8.5,355,21,5,147
1669413278,46,13,0,11,0.132,86,3,3,17.3,36.9,40,11,8,345,25,6,144
1669413279,46,15,0,12,0.133,79,3,3,17.1,0,40,10,7.3,342,23,6,145
1669413280,46,15,0,11,0.128,82,5,5,16.6,36.9,40,10,7.3,348,22,5,143
