Time,Number,Longitude,Latitude,Altitude,Voltage,Battery Level,Fix,Number of Satellites,Svr ID,Svr Interval Start,Svr Interval End,Svr Transfer,Svr Bandwidth,Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB],UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%],eNB rnti,eNB DL cqi,eNB DL ri,eNB DL mcs,eNB DL brate [Mbps],eNB DL ACK,eNB DL NACK,eNB DL NACK:ACK [%],eNB UL pusch,eNB UL pucch,eNB UL phr,eNB UL mcs,eNB UL brate [Mbps],eNB UL ACK,eNB UL NACK,eNB UL NACK:ACK [%],eNB UL bsr [kilo]
1669413211,1,-78.6961089,35.727278,0.001,12.587,100,6,10,5,11,12,0.786,6.44,4,11,12,0.764,6.25,3,0.331,0,1,-87,87,0.447,15,41,1,0.866,0,2.6,23,263,22,0,46,15,0,11,0.459,302,0,0,39.7,0,40,23,22,364,2,0,128
1669413212,2,-78.6961089,35.727278,0.001,12.587,100,6,10,5,12,13,1.14,9.58,4,12,13,1.18,9.91,2,0.286,0,1,-87,87,-2,12,41,1,0.564,0,2.6,23,287,23,0,46,15,0,16,0.976,329,0,0,39.9,0,40,23,22,378,1,0,128
1669413213,3,-78.6961089,35.727278,0.001,12.587,100,6,10,5,13,14,0.945,7.74,4,13,14,0.954,7.82,0,0.31,0,1,-87,87,-5.6,11,41,1,0.424,0,2.6,23,308,22,0,46,15,0,11,0.435,286,0,0,39,0,40,23,23,359,0,0,128
1669413214,4,-78.6961089,35.727278,0.001,12.587,100,6,10,5,14,15,0.947,7.76,4,14,15,0.954,7.82,0,0.325,0,1,-87,87,-3.6,11,41,1,0.428,0,2.6,23,321,22,0,46,15,0,11,0.427,274,0,0,39,0,40,23,22,355,3,0,128
1669413215,5,-78.6961089,35.727278,0.001,12.587,100,6,10,5,15,16,0.94,7.7,4,15,16,0.891,7.3,0,0.332,0,1,-87,87,-5,11,41,1,0.433,0,2.6,23,329,22,0,46,15,0,11,0.431,268,0,0,38.8,0,40,23,22,358,3,0,128
1669413216,6,-78.6961089,35.727278,0.001,12.587,100,6,10,5,16,17,0.959,7.85,4,16,17,0.954,7.82,0,0.334,0,1,-87,87,-0.611,11,41,1,0.43,0,2.6,23,329,22,0,46,15,0,11,0.43,279,0,0,39.5,0,40,23,22,362,4,1,129
1669413217,7,-78.6961089,35.727278,0.001,12.587,100,6,10,5,17,18,0.984,8.07,4,17,18,1.018,8.34,0,0.334,0,1,-87,87,-0.816,11,41,1,0.443,0,2.6,23,328,23,0,46,15,0,11,0.43,283,0,0,39.5,0,40,23,22,366,2,0,131
1669413218,8,-78.6961089,35.727278,0.001,12.587,100,6,10,5,18,19,0.952,7.8,4,18,19,0.954,7.82,0,0.337,0,1,-87,87,-1.8,11,41,1,0.443,0,2.6,23,332,23,0,46,15,0,11,0.446,305,0,0,39.2,0,40,23,23,365,0,0,128
1669413219,9,-78.6961089,35.727278,0.001,12.489,99,6,10,5,19,20,0.959,7.85,4,19,20,0.954,7.82,0,0.342,0,1,-87,87,-1,11,41,1,0.438,0,2.6,23,341,22,0,46,15,0,11,0.441,280,0,0,40,0,40,23,22,357,1,0,132
1669413220,10,-78.6961089,35.727278,0.065,12.094,99,6,10,5,20,21,0.966,7.92,4,20,21,0.954,7.82,0,0.358,0,1,-87,87,-0.393,11,41,1,0.424,0,2.6,23,348,22,0,46,15,0,11,0.434,297,0,0,40,0,40,23,22,367,1,0,129
1669413221,11,-78.6961099,35.7272789,1.288,12.143,99,6,10,5,21,22,0.938,7.68,4,21,22,0.954,7.82,0,0.385,0,1,-87,87,-2,11,41,1,0.414,0,2.6,23,382,22,0,46,15,0,11,0.42,260,0,0,39.4,0,40,23,22,358,4,1,130
