Time,Iperf Svr ID,Iperf Svr Interval Start [sec],Iperf Svr Interval End [sec],Iperf Svr Transfer [MB],Iperf Svr Bandwidth [Mbps]
1669915668,5,0,1,0.482,3.95
1669915669,5,1,2,0.649,5.32
1669915670,5,2,3,0.648,5.31
1669915671,5,3,4,0.667,5.47
1669915672,5,4,5,0.653,5.35
1669915673,5,5,6,0.643,5.27
1669915674,5,6,7,0.641,5.25
1669915675,5,7,8,0.653,5.35
1669915676,5,8,9,0.652,5.34
1669915677,5,9,10,0.474,3.88
1669915678,5,10,11,0.827,6.78
1669915679,5,11,12,0.652,5.34
1669915680,5,12,13,0.635,5.2
1669915681,5,13,14,0.366,3
1669915682,5,14,15,0.928,7.6
1669915683,5,15,16,0.656,5.37
1669915684,5,16,17,0.652,5.34
1669915685,5,17,18,0.656,5.38
1669915686,5,18,19,0.656,5.37
1669915687,5,19,20,0.645,5.28
1669915688,5,20,21,0.646,5.29
1669915689,5,21,22,0.638,5.22
1669915690,5,22,23,0.532,4.36
1669915691,5,23,24,0.577,4.73
1669915692,5,24,25,0.281,2.3
1669915693,5,25,26,1.018,8.34
1669915694,5,26,27,0.641,5.25
1669915695,5,27,28,0.641,5.25
1669915696,5,28,29,0.642,5.26
1669915697,5,29,30,0.351,2.87
1669915698,5,30,31,0.952,7.8
1669915699,5,31,32,0.646,5.29
1669915700,5,32,33,0.632,5.18
1669915701,5,33,34,0.625,5.12
1669915702,5,34,35,0.663,5.43
1669915703,5,35,36,0.625,5.11
1669915704,5,36,37,0.641,5.25
1669915705,5,37,38,0.65,5.33
1669915706,5,38,39,0.649,5.32
1669915707,5,39,40,0.646,5.29
1669915708,5,40,41,0.322,2.64
1669915709,5,41,42,0.966,7.91
1669915710,5,42,43,0.645,5.28
1669915711,5,43,44,0.648,5.31
1669915712,5,44,45,0.636,5.21
1669915713,5,45,46,0.291,2.39
1669915714,5,46,47,0.974,7.98
1669915715,5,47,48,0.618,5.06
1669915716,5,48,49,0.574,4.7
1669915717,5,49,50,0.598,4.9
1669915718,5,50,51,0.503,4.12
1669915719,5,51,52,0.53,4.34
1669915720,5,52,53,0.505,4.14
1669915721,5,53,54,0.495,4.05
1669915722,5,54,55,0.52,4.26
1669915723,5,55,56,0.479,3.93
1669915724,5,56,57,0.461,3.78
1669915725,5,57,58,0.181,1.48
1669915726,5,58,59,0.748,6.13
1669915727,5,59,60,0.461,3.78
1669915728,5,60,61,0.413,3.38
1669915729,5,61,62,0.419,3.43
1669915730,5,62,63,0.157,1.29
1669915731,5,63,64,0.387,3.17
1669915732,5,64,65,0.594,4.87
1669915733,5,65,66,0.332,2.72
1669915734,5,66,67,0.337,2.76
1669915735,5,67,68,0.301,2.47
1669915736,5,68,69,0.288,2.36
1669915737,5,69,70,0.26,2.13
1669915738,5,70,71,0.262,2.14
1669915739,5,71,72,0.247,2.03
1669915740,5,72,73,0.228,1.86
1669915741,5,73,74,0.233,1.91
1669915742,5,74,75,0.202,1.66
1669915743,5,75,76,0.132,1.08
1669915744,5,76,77,0,0
1669915745,5,77,78,0.0594,0.487
1669915746,5,78,79,0.281,2.31
1669915747,5,79,80,0.395,3.23
1669915748,5,80,81,0.141,1.16
1669915749,5,81,82,0.107,0.88
1669915750,5,82,83,0.0947,0.776
1669915751,5,83,84,0.0764,0.626
1669915752,5,84,85,0.103,0.845
1669915753,5,85,86,0.0962,0.788
1669915754,5,86,87,0.0693,0.568
1669915755,5,87,88,0.0693,0.568
1669915756,5,88,89,0.0608,0.498
1669915757,5,89,90,0.058,0.475
1669915758,5,90,91,0.0721,0.591
1669915759,5,91,92,0.0693,0.568
1669915760,5,92,93,0.0537,0.44
1669915761,5,93,94,0.0438,0.359
1669915762,5,94,95,0.0438,0.359
1669915763,5,95,96,0.0368,0.301
1669915764,5,96,97,0.0198,0.162
1669915765,5,97,98,0,0
1669915766,5,98,99,0,0
1669915767,5,99,100,0,0
1669915768,5,100,101,0,0
1669915769,5,101,102,0,0
1669915770,5,102,103,0,0
1669915771,5,103,104,0,0
1669915772,5,104,105,0,0
1669915773,5,105,106,0,0
1669915774,5,106,107,0,0
1669915775,5,107,108,0.0976,0.8
1669915776,5,108,109,0,0
1669915777,5,109,110,0,0
1669915778,5,110,111,0,0
1669915779,5,111,112,0,0
1669915780,5,112,113,0,0
1669915781,5,113,114,0,0
1669915782,5,114,115,0,0
1669915783,5,115,116,0,0
1669915784,5,116,117,0,0
1669915785,5,117,118,0,0
1669915786,5,118,119,0,0
1669915787,5,119,120,0,0
1669915788,5,120,121,0,0
1669915789,5,121,122,0,0
1669915790,5,122,123,0,0
1669915791,5,123,124,0,0
1669915792,5,124,125,0,0
1669915793,5,125,126,0,0
1669915794,5,126,127,0,0
1669915795,5,127,128,0,0
1669915796,5,128,129,0,0
1669915797,5,129,130,0,0
1669915798,5,130,131,0,0
1669915799,5,131,132,0,0
1669915800,5,132,133,0,0
1669915801,5,133,134,0,0
1669915802,5,134,135,0,0
1669915803,5,135,136,0,0
1669915804,5,136,137,0,0
1669915805,5,137,138,0,0
1669915806,5,138,139,0,0
1669915807,5,139,140,0,0
1669915808,5,140,141,0,0
1669915809,5,141,142,0,0
1669915810,5,142,143,0,0
1669915811,5,143,144,0,0
1669915812,5,144,145,0,0
1669915813,5,145,146,0,0
1669915814,5,146,147,0,0
1669915815,5,147,148,0,0
1669915816,5,148,149,0.058,0.475
1669915817,5,149,150,0,0
1669915818,5,150,151,0,0
