Time,Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB]
1669915668,4,0,1,0.922,7.55,0,0.0778
1669915669,4,1,2,0.827,6.77,0,0.11
1669915670,4,2,3,0.827,6.78,0,0.143
1669915671,4,3,4,0.827,6.78,0,0.175
1669915672,4,4,5,0.891,7.3,0,0.209
1669915673,4,5,6,0.827,6.77,0,0.24
1669915674,4,6,7,0.764,6.26,0,0.273
1669915675,4,7,8,0.827,6.78,0,0.305
1669915676,4,8,9,1.06,8.86,0,0.376
1669915677,4,9,10,0.827,6.77,23,0.366
1669915678,4,10,11,0.891,7.3,25,0.322
1669915679,4,11,12,0.636,5.21,0,0.363
1669915680,4,12,13,0.7,5.73,0,0.402
1669915681,4,13,14,0.255,2.09,15,0.286
1669915682,4,14,15,1.06,8.87,0,0.3
1669915683,4,15,16,0.636,5.21,0,0.324
1669915684,4,16,17,0.636,5.2,0,0.338
1669915685,4,17,18.01,0.636,5.19,0,0.345
1669915686,4,18.01,19,0.636,5.24,0,0.346
1669915687,4,19,20,0.7,5.74,0,0.346
1669915688,4,20,21,0.636,5.21,0,0.349
1669915689,4,21,22,0.636,5.22,0,0.356
1669915690,4,22,23,0.509,4.17,0,0.37
1669915691,4,23,24,0.573,4.69,0,0.397
1669915692,4,24,25,0.191,1.57,15,0.286
1669915693,4,25,26,1.12,9.39,0,0.305
1669915694,4,26,27,0.636,5.21,0,0.345
1669915695,4,27,28,0.636,5.21,0,0.375
1669915696,4,28,29,0.636,5.21,0,0.395
1669915697,4,29,30,0.255,2.08,8,0.277
1669915698,4,30,31,1.06,8.87,0,0.293
1669915699,4,31,32,0.636,5.21,0,0.315
1669915700,4,32,33,0.636,5.21,0,0.328
1669915701,4,33,34,0.573,4.69,0,0.335
1669915702,4,34,35,0.7,5.73,0,0.337
1669915703,4,35,36,0.636,5.21,0,0.337
1669915704,4,36,37,0.636,5.22,0,0.339
1669915705,4,37,38,0.636,5.21,0,0.348
1669915706,4,38,39,0.636,5.21,0,0.363
1669915707,4,39,40,0.636,5.21,0,0.39
1669915708,4,40,41,0.255,2.09,12,0.297
1669915709,4,41,42,1.06,8.87,5,0.298
1669915710,4,42,43,0.636,5.21,0,0.338
1669915711,4,43,44,0.636,5.21,0,0.37
1669915712,4,44,45,0.573,4.69,0,0.39
1669915713,4,45,46,0.255,2.09,7,0.283
1669915714,4,46,47,1.06,8.87,0,0.287
1669915715,4,47,48,0.636,5.21,0,0.311
1669915716,4,48,49,0.573,4.69,0,0.325
1669915717,4,49,50,0.573,4.69,0,0.334
1669915718,4,50,51,0.509,4.17,0,0.337
1669915719,4,51,52,0.509,4.17,0,0.337
1669915720,4,52,53,0.509,4.17,0,0.338
1669915721,4,53,54,0.509,4.17,0,0.344
1669915722,4,54,55,0.509,4.17,0,0.358
1669915723,4,55,56,0.445,3.65,0,0.38
1669915724,4,56,57,0.445,3.65,0,0.414
1669915725,4,57,58,0.127,1.04,20,0.293
1669915726,4,58,59,0.827,6.77,0,0.304
1669915727,4,59,60,0.445,3.65,0,0.342
1669915728,4,60,61,0.445,3.66,0,0.372
1669915729,4,61,62,0.382,3.13,0,0.395
1669915730,4,62,63,0.127,1.04,12,0.313
1669915731,4,63,64,0.636,5.22,2,0.28
1669915732,4,64,65,0.445,3.65,0,0.296
1669915733,4,65,66,0.318,2.61,0,0.315
1669915734,4,66,67,0.318,2.61,0,0.328
1669915735,4,67,68,0.318,2.61,0,0.335
1669915736,4,68,69,0.255,2.08,0,0.338
1669915737,4,69,70,0.318,2.61,0,0.338
1669915738,4,70,71,0.191,1.57,0,0.341
1669915739,4,71,72,0.255,2.08,0,0.348
1669915740,4,72,73,0.255,2.09,0,0.361
1669915741,4,73,74,0.191,1.56,0,0.382
1669915742,4,74,75,0.191,1.56,0,0.411
1669915743,4,75,76,0.127,1.04,6,0.423
1669915744,4,76,77,0,0,26,0.325
1669915745,4,77,78,0,0,22,0.308
1669915746,4,78,79,0.255,2.09,0,0.308
1669915747,4,79,80,0.445,3.65,0,0.28
1669915748,4,80,81,0.191,1.56,0,0.236
1669915749,4,81,82,0.191,1.56,0,0.216
1669915750,4,82,83,0.0636,0.521,0,0.225
1669915751,4,83,84,0.127,1.04,0,0.233
1669915752,4,84,85,0.0636,0.521,0,0.243
1669915753,4,85,86,0.127,1.04,0,0.249
1669915754,4,86,87,0.0636,0.521,0,0.253
1669915755,4,87,88,0.0636,0.522,0,0.256
1669915756,4,88,89,0.0636,0.521,0,0.259
1669915757,4,89,90,0.0636,0.521,0,0.266
1669915758,4,90,91,0.0636,0.521,0,0.277
1669915759,4,91,92,0.0636,0.521,0,0.298
1669915760,4,92,93,0,0,0,0.324
1669915761,4,93,94,0.0636,0.521,0,0.345
1669915762,4,94,95,0,0,0,0.368
1669915763,4,95,96,0.0636,0.521,0,0.386
1669915764,4,96,97,0,0,1,0.387
1669915765,4,97,98,0,0,0,0.378
1669915766,4,98,99,0,0,0,0.366
1669915767,4,99,100,0,0,5,0.348
1669915768,4,100,101,0,0,1,0.338
1669915769,4,101,102,0,0,4,0.321
1669915770,4,102,103,0,0,5,0.308
1669915771,4,103,104,0,0,1,0.3
1669915772,4,104,105,0,0,3,0.29
1669915773,4,105,106,0,0,7,0.269
1669915774,4,106,107,0,0,16,0.252
1669915775,4,107,108,0,0,9,0.274
1669915776,4,108,109,0,0,3,0.272
1669915777,4,109,110,0,0,3,0.27
1669915778,4,110,111,0,0,3,0.266
1669915779,4,111,112,0,0,6,0.257
1669915780,4,112,113,0.0636,0.522,5,0.25
1669915781,4,113,114,0,0,7,0.24
1669915782,4,114,115,0,0,2,0.239
1669915783,4,115,116,0,0,4,0.233
1669915784,4,116,117,0,0,0,0.233
1669915785,4,117,118,0,0,7,0.202
1669915786,4,118,119,0,0,15,0.202
1669915787,4,119,120,0,0,9,0.197
1669915788,4,120,121,0,0,6,0.173
1669915789,4,121,122,0,0,8,0.163
1669915790,4,122,123,0,0,7,0.163
1669915791,4,123,124,0,0,6,0.151
1669915792,4,124,125,0,0,2,0.133
1669915793,4,125,126,0,0,2,0.122
1669915794,4,126,127,0,0,2,0.12
1669915795,4,127,128,0,0,0,0.12
1669915796,4,128,129,0,0,7,0.0834
