[2022-12-01 12:23:41.490636] Connecting to host 172.16.0.1, port 5201
[2022-12-01 12:23:41.724965] [  4] local 172.16.0.2 port 33322 connected to 172.16.0.1 port 5201
[2022-12-01 12:23:42.791829] [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[2022-12-01 12:23:42.792072] [  4]   0.00-1.00   sec  1.14 MBytes  9.53 Mbits/sec    0   87.7 KBytes       
[2022-12-01 12:23:43.791767] [  4]   1.00-2.00   sec  1018 KBytes  8.34 Mbits/sec    0    129 KBytes       
[2022-12-01 12:23:44.798142] [  4]   2.00-3.00   sec  1018 KBytes  8.34 Mbits/sec    0    170 KBytes       
[2022-12-01 12:23:45.791717] [  4]   3.00-4.00   sec   891 KBytes  7.30 Mbits/sec    0    204 KBytes       
[2022-12-01 12:23:46.791988] [  4]   4.00-5.00   sec   891 KBytes  7.30 Mbits/sec    0    239 KBytes       
[2022-12-01 12:23:47.792000] [  4]   5.00-6.00   sec  1018 KBytes  8.34 Mbits/sec    0    277 KBytes       
[2022-12-01 12:23:48.791788] [  4]   6.00-7.00   sec  1018 KBytes  8.34 Mbits/sec    0    318 KBytes       
[2022-12-01 12:23:49.792213] [  4]   7.00-8.00   sec  1018 KBytes  8.34 Mbits/sec    0    361 KBytes       
[2022-12-01 12:23:50.791918] [  4]   8.00-9.00   sec  1.06 MBytes  8.86 Mbits/sec    0    403 KBytes       
[2022-12-01 12:23:51.792716] [  4]   9.00-10.00  sec   573 KBytes  4.69 Mbits/sec   22    293 KBytes       
[2022-12-01 12:23:52.791776] [  4]  10.00-11.00  sec  1.12 MBytes  9.39 Mbits/sec    0    328 KBytes       
[2022-12-01 12:23:53.792416] [  4]  11.00-12.00  sec   827 KBytes  6.77 Mbits/sec    0    368 KBytes       
[2022-12-01 12:23:54.792358] [  4]  12.00-13.00  sec   764 KBytes  6.26 Mbits/sec    0    393 KBytes       
[2022-12-01 12:23:55.791927] [  4]  13.00-14.00  sec   509 KBytes  4.17 Mbits/sec    9    279 KBytes       
[2022-12-01 12:23:56.792118] [  4]  14.00-15.00  sec  1.18 MBytes  9.90 Mbits/sec    0    205 KBytes       
[2022-12-01 12:23:57.792686] [  4]  15.00-16.00  sec   827 KBytes  6.77 Mbits/sec    0    223 KBytes       
[2022-12-01 12:23:58.792406] [  4]  16.00-17.00  sec   827 KBytes  6.78 Mbits/sec    0    233 KBytes       
[2022-12-01 12:23:59.791750] [  4]  17.00-18.00  sec   764 KBytes  6.26 Mbits/sec    0    236 KBytes       
[2022-12-01 12:24:00.792664] [  4]  18.00-19.00  sec   827 KBytes  6.77 Mbits/sec    0    236 KBytes       
[2022-12-01 12:24:01.792555] [  4]  19.00-20.00  sec   827 KBytes  6.78 Mbits/sec    0    238 KBytes       
[2022-12-01 12:24:02.792529] [  4]  20.00-21.00  sec   764 KBytes  6.26 Mbits/sec    0    242 KBytes       
[2022-12-01 12:24:03.792804] [  4]  21.00-22.00  sec   827 KBytes  6.78 Mbits/sec    0    253 KBytes       
[2022-12-01 12:24:04.792416] [  4]  22.00-23.00  sec   827 KBytes  6.78 Mbits/sec    0    276 KBytes       
[2022-12-01 12:24:05.792375] [  4]  23.00-24.00  sec   764 KBytes  6.26 Mbits/sec    0    310 KBytes       
[2022-12-01 12:24:06.792438] [  4]  24.00-25.00  sec   827 KBytes  6.78 Mbits/sec    0    359 KBytes       
[2022-12-01 12:24:07.792345] [  4]  25.00-26.00  sec   764 KBytes  6.26 Mbits/sec    3    406 KBytes       
[2022-12-01 12:24:08.792730] [  4]  26.00-27.00  sec   891 KBytes  7.30 Mbits/sec   23    300 KBytes       
[2022-12-01 12:24:09.793630] [  4]  27.00-28.00  sec   827 KBytes  6.77 Mbits/sec    0    342 KBytes       
[2022-12-01 12:24:10.792562] [  4]  28.00-29.00  sec   700 KBytes  5.74 Mbits/sec    0    376 KBytes       
[2022-12-01 12:24:11.793376] [  4]  29.00-30.00  sec   636 KBytes  5.21 Mbits/sec    0    400 KBytes       
[2022-12-01 12:24:12.793302] [  4]  30.00-31.00  sec   827 KBytes  6.78 Mbits/sec   10    283 KBytes       
[2022-12-01 12:24:13.792394] [  4]  31.00-32.00  sec   827 KBytes  6.78 Mbits/sec    0    307 KBytes       
[2022-12-01 12:24:14.792421] [  4]  32.00-33.00  sec   827 KBytes  6.78 Mbits/sec    0    325 KBytes       
[2022-12-01 12:24:15.791890] [  4]  33.00-34.00  sec   764 KBytes  6.26 Mbits/sec    0    335 KBytes       
[2022-12-01 12:24:16.792424] [  4]  34.00-35.00  sec   827 KBytes  6.77 Mbits/sec    0    339 KBytes       
[2022-12-01 12:24:17.792362] [  4]  35.00-36.00  sec   827 KBytes  6.78 Mbits/sec    0    339 KBytes       
[2022-12-01 12:24:18.792762] [  4]  36.00-37.00  sec   827 KBytes  6.77 Mbits/sec    0    341 KBytes       
[2022-12-01 12:24:19.792501] [  4]  37.00-38.00  sec   764 KBytes  6.26 Mbits/sec    0    345 KBytes       
[2022-12-01 12:24:20.792465] [  4]  38.00-39.00  sec   636 KBytes  5.21 Mbits/sec    0    355 KBytes       
