[2022-12-01 13:24:16.692340] Connecting to host 172.16.0.1, port 5201
[2022-12-01 13:24:16.972727] [  4] local 172.16.0.2 port 53666 connected to 172.16.0.1 port 5201
[2022-12-01 13:24:18.044386] [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[2022-12-01 13:24:18.044490] [  4]   0.00-1.00   sec   850 KBytes  6.96 Mbits/sec    0   73.5 KBytes       
[2022-12-01 13:24:19.044680] [  4]   1.00-2.00   sec   827 KBytes  6.78 Mbits/sec    0    106 KBytes       
[2022-12-01 13:24:20.044435] [  4]   2.00-3.00   sec   827 KBytes  6.78 Mbits/sec    0    139 KBytes       
[2022-12-01 13:24:21.044579] [  4]   3.00-4.00   sec   827 KBytes  6.78 Mbits/sec    0    173 KBytes       
[2022-12-01 13:24:22.050579] [  4]   4.00-5.01   sec   827 KBytes  6.74 Mbits/sec    0    205 KBytes       
[2022-12-01 13:24:23.044760] [  4]   5.01-6.00   sec   827 KBytes  6.82 Mbits/sec    0    238 KBytes       
[2022-12-01 13:24:24.044717] [  4]   6.00-7.00   sec   827 KBytes  6.78 Mbits/sec    0    270 KBytes       
[2022-12-01 13:24:25.044619] [  4]   7.00-8.00   sec   827 KBytes  6.78 Mbits/sec    0    303 KBytes       
[2022-12-01 13:24:26.044532] [  4]   8.00-9.00   sec  1018 KBytes  8.34 Mbits/sec    0    368 KBytes       
[2022-12-01 13:24:27.044489] [  4]   9.00-10.00  sec  1018 KBytes  8.34 Mbits/sec   14    399 KBytes       
[2022-12-01 13:24:28.045349] [  4]  10.00-11.00  sec   827 KBytes  6.77 Mbits/sec   34    317 KBytes       
[2022-12-01 13:24:29.045186] [  4]  11.00-12.00  sec   573 KBytes  4.69 Mbits/sec    0    356 KBytes       
[2022-12-01 13:24:30.045307] [  4]  12.00-13.00  sec   636 KBytes  5.21 Mbits/sec    0    396 KBytes       
[2022-12-01 13:24:31.045362] [  4]  13.00-14.00  sec   191 KBytes  1.56 Mbits/sec   14    280 KBytes       
[2022-12-01 13:24:32.044721] [  4]  14.00-15.00  sec  1.18 MBytes  9.91 Mbits/sec    0    294 KBytes       
[2022-12-01 13:24:33.045284] [  4]  15.00-16.00  sec   636 KBytes  5.21 Mbits/sec    0    318 KBytes       
[2022-12-01 13:24:34.045310] [  4]  16.00-17.00  sec   636 KBytes  5.21 Mbits/sec    0    334 KBytes       
[2022-12-01 13:24:35.044947] [  4]  17.00-18.00  sec   636 KBytes  5.21 Mbits/sec    0    341 KBytes       
[2022-12-01 13:24:36.045458] [  4]  18.00-19.00  sec   636 KBytes  5.21 Mbits/sec    0    344 KBytes       
