Time,eNB rnti,eNB DL cqi,eNB DL ri,eNB DL mcs,eNB DL brate [Mbps],eNB DL ACK,eNB DL NACK,eNB DL NACK:ACK [%],eNB UL pusch,eNB UL pucch,eNB UL phr,eNB UL mcs,eNB UL brate [Mbps],eNB UL ACK,eNB UL NACK,eNB UL NACK:ACK [%],eNB UL bsr [kilo]
1669919054,46,15,0,2,0.01,5,0,0,52.2,29,40,10,0.102,4,0,0,0
1669919055,46,15,2,5,0.014,11,0,0,48.8,29,40,17,0.104,8,0,0,0
1669919056,46,15,0,0,0,0,0,0,0,13.9,0,0,0,0,0,0,0
1669919057,46,15,2,13,0.049,18,0,0,46.9,30.1,40,18,1.4,42,0,0,23.2
1669919058,46,15,2,12,0.48,171,0,0,40,0,40,23,22,231,5,2,46.3
1669919059,46,15,2,11,0.467,211,0,0,40.3,0,40,23,23,243,0,0,72.3
1669919060,46,15,2,11,0.479,208,0,0,39.3,0,40,23,22,240,1,0,107
1669919061,46,15,0,11,0.492,214,0,0,39.8,0,40,23,22,253,1,0,128
1669919062,46,15,2,11,0.494,217,0,0,39.3,0,40,23,22,252,1,0,131
1669919063,46,15,2,11,0.484,202,0,0,40,0,40,23,22,245,2,0,132
1669919064,46,15,2,11,0.469,191,0,0,39.8,0,40,23,22,239,4,1,128
1669919065,46,15,0,11,0.444,179,0,0,39.5,36.9,40,23,22,243,6,2,129
1669919066,46,15,2,11,0.491,215,0,0,41.7,0,40,23,23,248,0,0,128
1669919067,46,15,2,16,0.906,217,0,0,39,0,40,23,22,250,2,0,131
1669919068,46,15,2,18,1.1,217,0,0,39.8,36.9,40,23,22,246,1,0,129
1669919069,46,15,2,17,0.892,200,0,0,39.6,0,40,23,22,243,4,1,130
1669919070,46,15,0,14,0.689,217,0,0,40,0,40,23,22,246,1,0,132
1669919071,46,15,2,20,1.3,224,0,0,39.8,0,40,23,22,248,1,0,129
1669919072,46,15,2,11,0.515,215,0,0,39.2,0,40,23,23,249,0,0,132
1669919073,46,15,2,11,0.439,210,0,0,38.5,0,40,23,23,251,0,0,129
1669919074,46,15,0,11,0.419,194,0,0,40.1,0,40,23,22,244,3,1,131
1669919075,46,15,2,11,0.436,190,0,0,40,0,40,23,22,240,1,0,131
1669919076,46,15,2,11,0.428,189,0,0,40,0,40,23,22,248,2,0,129
1669919077,46,15,2,11,0.437,198,0,0,39.7,0,40,23,22,245,1,0,131
1669919078,46,15,2,11,0.442,210,0,0,41.1,0,40,23,23,250,0,0,128
1669919079,46,15,0,11,0.419,188,0,0,39.4,0,40,23,22,247,3,1,131
1669919080,46,15,2,11,0.439,203,0,0,39.2,0,40,23,23,245,0,0,132
1669919081,46,15,2,11,0.432,210,0,0,39.6,0,40,23,22,254,1,0,131
1669919082,46,15,2,19,1.2,201,0,0,39.5,0,40,23,22,244,3,1,132
1669919083,46,15,0,13,0.639,215,0,0,39.5,0,40,23,23,249,0,0,130
1669919084,46,15,2,11,0.435,198,0,0,39.7,0,40,23,22,246,1,0,131
1669919085,46,15,2,11,0.416,189,0,0,39.9,33.4,40,23,22,246,2,0,129
1669919086,46,15,2,11,0.448,202,0,0,40,0,40,23,22,245,1,0,130
1669919087,46,15,2,19,1.3,219,0,0,39.5,0,40,23,22,250,2,0,128
1669919088,46,15,0,11,0.437,199,0,0,39.2,0,40,23,22,248,2,0,131
1669919089,46,15,2,11,0.433,193,0,0,41.2,0,40,23,22,238,1,0,130
1669919090,46,15,2,11,0.439,202,0,0,39.8,0,40,23,23,242,0,0,131
1669919091,46,15,2,11,0.437,207,0,0,40.2,0,40,23,23,252,0,0,129
1669919092,46,15,0,11,0.433,203,0,0,39.3,0,40,23,22,245,1,0,130
1669919093,46,15,2,11,0.443,200,0,0,39.4,0,40,23,22,248,1,0,128
1669919094,46,15,2,11,0.432,204,0,0,40.6,0,40,23,22,249,1,0,130
1669919095,46,15,2,11,0.424,194,0,0,38.6,0,40,23,22,251,3,1,129
1669919096,46,15,0,11,0.426,190,0,0,39.1,0,40,23,22,245,2,0,131
1669919097,46,15,2,11,0.431,188,0,0,40,0,40,23,22,249,3,1,129
1669919098,46,15,2,18,1.2,206,0,0,39.5,0,40,23,22,236,2,0,128
1669919099,46,15,2,13,0.68,196,0,0,38.9,0,40,23,22,242,1,0,129
1669919100,46,15,2,11,0.417,174,0,0,37.8,36.9,40,23,22,242,6,2,131
1669919101,46,15,0,11,0.431,183,0,0,36.8,0,40,23,22,244,3,1,128
1669919102,46,15,2,11,0.389,154,0,0,34.4,33.3,40,23,22,238,10,4,130
1669919103,46,15,2,11,0.4,162,0,0,33.9,0,40,23,22,241,9,3,128
1669919104,46,15,2,12,0.338,110,0,0,31.3,36.9,40,23,21,231,16,6,130
1669919105,46,15,0,12,0.363,120,0,0,29.5,0,40,23,20,229,23,9,128
1669919106,46,15,2,12,0.304,95,0,0,28.9,36.9,40,23,20,221,27,10,129
1669919107,46,15,2,13,0.268,74,0,0,26.4,0,40,23,19,216,37,14,132
1669919108,46,15,2,14,0.291,72,0,0,25.8,0,40,23,19,211,39,15,132
1669919109,46,15,2,14,0.241,56,0,0,23.8,0,40,23,17,187,55,22,129
1669919110,46,15,0,15,0.229,52,0,0,24.8,0,40,23,18,181,41,18,127
1669919111,46,15,2,14,0.279,46,0,0,21.5,35.1,40,23,16,156,49,23,130
1669919112,46,15,2,21,1,57,0,0,23.1,34.5,40,22,17,178,51,22,131
1669919113,46,15,2,15,0.41,73,0,0,22.8,0,40,22,17,200,45,18,128
1669919114,46,15,0,13,0.189,59,0,0,22.8,34.1,40,22,16,196,47,19,132
1669919115,46,15,2,14,0.219,65,0,0,22.8,34.2,40,21,16,202,44,17,134
1669919116,46,15,2,18,0.822,80,0,0,23.2,35.3,40,21,16,210,38,15,129
1669919117,46,15,2,16,0.511,72,0,0,22.1,0,40,19,15,206,39,15,133
1669919118,46,15,0,14,0.204,53,0,0,22.7,34.7,40,20,15,208,37,15,138
1669919119,46,15,2,13,0.208,65,0,0,21.7,34.3,40,18,14,213,31,12,138
1669919120,46,15,2,12,0.206,74,0,0,21.2,35.5,40,17,13,224,24,9,135
1669919121,46,15,2,13,0.227,76,0,0,21.6,33.4,40,17,13,222,28,11,133
1669919122,46,15,2,12,0.189,70,0,0,21.3,33.4,40,17,13,216,32,12,137
1669919123,46,15,0,11,0.188,79,0,0,19.8,0,40,14,11,234,19,7,139
1669919124,46,15,2,12,0.198,80,1,1,19.7,0,40,14,11,230,17,6,144
1669919125,46,15,2,13,0.163,48,0,0,19.8,0,40,14,10,221,24,9,142
1669919126,46,15,2,12,0.155,67,3,4,18.5,0,40,12,8.7,237,18,7,137
1669919127,46,15,0,11,0.129,56,3,5,16.5,0,40,10,7.4,233,18,7,146
1669919128,46,13,2,13,0.341,81,2,2,17.5,33.4,40,11,7.8,234,19,7,143
1669919129,46,15,2,16,0.486,70,3,4,17.7,35.1,40,12,8.3,227,24,9,147
1669919130,46,15,2,14,0.411,91,6,6,16,0,40,9,6.7,235,13,5,144
1669919131,46,15,2,13,0.271,72,6,7,15.6,36.9,40,9,6.6,235,18,7,143
1669919132,46,15,0,13,0.33,88,11,11,15.2,0,40,8,6.3,235,14,5,145
1669919133,46,15,2,12,0.151,60,3,4,15,0,40,8,6.2,241,15,5,146
1669919134,46,15,2,11,0.107,50,10,16,14.4,0,40,7,5.4,238,11,4,146
1669919135,46,15,2,12,0.106,45,6,11,14.6,33.4,40,8,5.9,241,17,6,149
1669919136,46,15,2,11,0.09,41,10,19,13,0,40,6,4.4,242,16,6,149
1669919137,46,15,0,11,0.094,44,5,10,13.8,33.4,40,6,4.8,245,14,5,148
1669919138,46,15,2,11,0.066,33,13,28,11.1,0,40,4,3.1,246,12,4,151
1669919139,46,15,2,11,0.057,29,4,12,11.2,0,40,3,3,243,14,5,147
1669919140,46,15,2,11,0.069,35,5,12,11.7,33.4,40,4,3.3,244,10,3,148
1669919141,46,15,2,11,0.052,25,10,28,11.3,0,40,3,2.9,240,16,6,151
1669919142,46,15,0,11,0.06,29,10,25,10.8,35.1,40,4,3.1,233,23,8,147
1669919143,46,15,2,12,0.071,26,8,23,10.2,33.4,40,3,2.4,237,18,7,151
1669919144,46,15,2,14,0.125,39,24,38,10.2,0,40,3,2.5,232,21,8,148
1669919145,46,15,2,11,0.104,39,22,36,9.2,0,40,1,1.8,231,23,9,152
1669919146,46,15,2,12,0.089,30,12,28,9,35.9,40,1,1.8,230,23,9,148
1669919147,46,13,0,12,0.079,28,18,39,8.3,0,40,1,1.5,223,31,12,151
1669919148,46,12,2,11,0.085,27,18,40,8.6,35.9,40,1,1.6,217,31,12,150
1669919149,46,15,2,11,0.055,25,17,40,8.5,0,40,1,1.7,228,28,10,149
1669919150,46,12,2,8,0.034,21,18,46,8.5,0,40,1,1.5,221,34,13,152
1669919151,46,15,2,10,0.033,17,13,43,7.8,35.5,40,1,1.5,222,32,12,148
1669919152,46,11,0,8,0.018,9,29,76,6.5,34.4,40,1,1.2,189,57,23,149
1669919153,46,15,2,11,0.051,20,19,48,6.8,33.4,40,1,1.3,200,53,20,152
1669919154,46,15,2,13,0.05,17,16,48,6.1,33.4,40,1,1,201,51,20,154
1669919155,46,11,2,12,0.065,17,14,45,7,33.4,40,1,1.2,198,44,18,151
1669919156,46,15,2,14,0.071,19,23,54,7.2,0,40,1,1.3,193,61,24,150
1669919157,46,15,0,13,0.043,14,33,70,5.3,0,40,1,0.987,191,62,24,150
1669919158,46,15,2,15,0.046,14,15,51,5.2,0,40,1,0.892,170,75,30,150
1669919159,46,13,2,11,0.037,11,20,64,4.8,33.4,40,0,0.991,191,61,24,153
1669919160,46,15,2,14,0.047,15,19,55,4.6,36.9,40,0,0.892,181,67,27,149
1669919161,46,15,2,14,0.046,12,15,55,4.8,0,40,0,0.985,187,67,26,153
1669919162,46,13,0,15,0.035,11,20,64,4.5,35.1,40,1,0.967,171,81,32,152
1669919163,46,15,2,11,0.041,12,15,55,4.5,34.7,40,1,0.831,166,80,32,149
1669919164,46,11,2,7,0.038,12,31,72,4.8,33.4,40,1,0.88,163,81,33,150
1669919165,46,11,2,9,0.0098,2,17,89,4.8,0,40,1,0.829,124,91,42,151
1669919166,46,12,0,10,0.027,8,14,63,3.3,36.9,40,1,0.72,126,83,39,156
1669919167,46,11,2,7,0.021,4,9,69,4.2,33.4,40,1,0.821,129,82,38,149
1669919168,46,13,2,12,0.028,5,2,28,4.2,33.4,40,1,0.736,122,77,38,152
1669919169,46,14,0,14,0.018,4,4,50,4,0,40,1,0.665,111,93,45,152
1669919170,46,15,2,9,0.021,7,27,79,3.6,30.1,40,1,0.747,129,79,37,129
1669919171,46,12,2,13,0.025,4,16,80,4.8,35.9,40,1,0.797,116,91,43,128
1669919172,46,11,2,6,0.026,8,18,69,4.4,34.3,40,1,0.723,133,97,42,130
1669919173,46,14,0,7,0.021,6,17,73,3.3,0,40,1,0.691,144,105,42,113
1669919174,46,15,2,8,0.018,8,10,55,3.5,0,40,1,0.637,125,110,46,92.8
1669919175,46,14,2,0,0.0061,1,8,88,3.4,33.3,40,1,0.56,109,134,55,95.6
1669919176,46,14,2,13,0.0083,2,6,75,4,33.3,40,2,0.749,113,136,54,65.3
1669919177,46,12,2,8,0.017,3,5,62,3.1,0,40,1,0.588,111,134,54,58.1
1669919178,46,14,0,14,0,0,8,100,2.6,33.4,40,1,0.505,105,141,57,42.3
1669919179,46,13,2,18,0.0029,1,2,66,3.1,33.3,40,2,0.579,109,136,55,22.5
1669919180,46,13,2,10,0.011,2,5,71,2.9,33.3,40,1,0.487,101,146,59,13.1
