Time,Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB]
1669919058,4,0,1,0.85,6.96,0,0.0735
1669919059,4,1,2,0.827,6.78,0,0.106
1669919060,4,2,3,0.827,6.78,0,0.139
1669919061,4,3,4,0.827,6.78,0,0.173
1669919062,4,4,5.01,0.827,6.74,0,0.205
1669919063,4,5.01,6,0.827,6.82,0,0.238
1669919064,4,6,7,0.827,6.78,0,0.27
1669919065,4,7,8,0.827,6.78,0,0.303
1669919066,4,8,9,1.018,8.34,0,0.368
1669919067,4,9,10,1.018,8.34,14,0.399
1669919068,4,10,11,0.827,6.77,34,0.317
1669919069,4,11,12,0.573,4.69,0,0.356
1669919070,4,12,13,0.636,5.21,0,0.396
1669919071,4,13,14,0.191,1.56,14,0.28
1669919072,4,14,15,1.18,9.91,0,0.294
1669919073,4,15,16,0.636,5.21,0,0.318
1669919074,4,16,17,0.636,5.21,0,0.334
1669919075,4,17,18,0.636,5.21,0,0.341
1669919076,4,18,19,0.636,5.21,0,0.344
1669919077,4,19,20,0.7,5.73,0,0.344
1669919078,4,20,21,0.636,5.21,0,0.345
1669919079,4,21,22,0.636,5.21,0,0.352
1669919080,4,22,23,0.636,5.21,0,0.366
1669919081,4,23,24,0.636,5.21,0,0.392
1669919082,4,24,25,0.255,2.08,13,0.291
1669919083,4,25,26,1.12,9.39,3,0.298
1669919084,4,26,27,0.636,5.21,0,0.339
1669919085,4,27,28,0.636,5.21,0,0.37
1669919086,4,28,29,0.636,5.21,0,0.392
1669919087,4,29,30,0.191,1.56,7,0.277
1669919088,4,30,31,1.12,9.39,0,0.29
1669919089,4,31,32,0.636,5.21,0,0.314
1669919090,4,32,33,0.636,5.21,0,0.328
1669919091,4,33,34,0.636,5.21,0,0.335
1669919092,4,34,35,0.636,5.21,0,0.337
