Time,UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%]
1669919054,0,1,-87,87,9.2,3,40,1,0.0067,0,2.6,22,20,0.041,0
1669919055,0,1,-87,87,5.2,5,40,1,0.013,0,2.6,18,0,0.104,0
1669919056,0,1,-87,87,5.3,0,40,0,0,0,2.6,0,0,0,0
1669919057,0,1,-87,87,6.6,13,40,1,0.052,0,2.6,18,33,1.4,0
1669919058,0,1,-87,87,0.492,12,40,1,0.49,0,2.6,23,64,22,0
1669919059,0,1,-87,87,9.6,11,40,1,0.472,0,2.6,23,98,23,0
1669919060,0,1,-87,87,7.1,11,40,1,0.476,0,2.6,23,131,22,0
1669919061,0,1,-87,87,4.4,11,40,1,0.493,0,2.6,23,166,22,0
1669919062,0,1,-87,87,2.5,11,40,1,0.492,0,2.6,23,204,22,0
1669919063,0,1,-87,87,-2.5,11,40,1,0.484,0,2.6,23,237,22,0
1669919064,0,1,-87,87,-2.1,11,40,1,0.471,0,2.6,23,271,22,0
1669919065,0,1,-87,87,-0.541,11,40,1,0.444,0,2.6,23,307,22,0
1669919066,0,1,-87,87,1.1,11,40,1,0.491,0,2.6,23,386,23,0
1669919067,0,1,-87,87,7.1,16,40,1,0.932,0,2.6,23,291,22,0
1669919068,0,1,-87,87,12,18,40,1,1.1,0,2.6,23,322,22,0
1669919069,0,1,-87,87,10,17,40,1,0.892,0,2.6,23,367,22,0
1669919070,0,1,-87,87,9.3,14,40,1,0.676,0,2.6,23,382,22,0
1669919071,0,1,-87,87,19,20,40,1,1.3,0,2.6,23,271,22,0
1669919072,0,1,-87,87,-1.3,11,40,1,0.49,0,2.6,23,295,23,0
1669919073,0,1,-87,87,1.7,11,40,1,0.438,0,2.6,23,318,23,0
1669919074,0,1,-87,87,3.6,11,40,1,0.407,0,2.6,23,314,22,0
1669919075,0,1,-87,87,4.6,11,40,1,0.449,0,2.6,23,337,22,0
1669919076,0,1,-87,87,0.066,11,40,1,0.428,0,2.6,23,338,22,0
1669919077,0,1,-87,87,3.5,11,40,1,0.438,0,2.6,23,339,22,0
1669919078,0,1,-87,87,4,11,40,1,0.441,0,2.6,23,337,23,0
1669919079,0,1,-87,87,-1.7,11,40,1,0.418,0,2.6,23,353,22,0
1669919080,0,1,-87,87,-6.4,11,40,1,0.442,0,2.6,23,371,23,0
1669919081,0,1,-87,87,1.2,11,40,1,0.427,0,2.6,23,372,22,0
1669919082,0,1,-87,87,15,19,40,1,1.2,0,2.6,23,275,22,0
1669919083,0,1,-87,87,1.6,13,40,1,0.613,0,2.6,23,307,23,0
1669919084,0,1,-87,87,-1.1,11,40,1,0.436,0,2.6,23,347,22,0
1669919085,0,1,-87,87,1.5,11,40,1,0.417,0,2.6,23,375,22,0
1669919086,0,1,-87,87,-2.1,11,40,1,0.462,0,2.6,23,377,22,0
1669919087,0,1,-87,87,11,19,40,1,1.3,0,2.6,23,268,22,0
1669919088,0,1,-87,87,0.748,11,40,1,0.437,0,2.6,23,291,22,0
1669919089,0,1,-87,87,5.2,11,40,1,0.433,0,2.6,23,314,22,0
1669919090,0,1,-87,87,3.9,11,40,1,0.438,0,2.6,23,325,23,0
1669919091,0,1,-87,87,-1.4,11,40,1,0.439,0,2.6,23,329,23,0
1669919092,0,1,-87,87,-1.9,11,40,1,0.436,0,2.6,23,330,22,0
1669919093,0,1,-87,87,3.8,11,40,1,0.439,0,2.6,23,329,22,0
1669919094,0,1,-87,87,-2,11,40,1,0.432,0,2.6,23,333,22,0
1669919095,0,1,-87,87,-0.107,11,40,1,0.424,0,2.6,23,343,22,0
1669919096,0,1,-87,87,6.6,11,40,1,0.426,0,2.6,23,367,22,0
1669919097,0,1,-87,87,-1.2,11,40,1,0.433,0,2.6,23,386,22,0
1669919098,0,1,-87,87,8.9,18,40,1,1.2,0,2.6,23,268,22,0
1669919099,0,1,-87,87,8.8,13,40,1,0.655,0,2.6,23,188,22,0
1669919100,0,1,-87,87,3.2,11,40,1,0.418,0,2.6,23,187,22,0
1669919101,0,1,-87,87,0.497,11,40,1,0.43,0,2.6,23,223,22,0
1669919102,0,1,-87,87,2.7,11,40,1,0.389,0,2.6,23,230,22,0
1669919103,0,1,-87,87,3.2,11,40,1,0.398,0,2.6,23,234,22,0
1669919104,0,1,-87,87,2.8,12,40,1,0.35,0,2.6,23,232,21,0
1669919105,0,1,-87,87,2.9,12,40,1,0.353,0,2.6,23,230,20,0
1669919106,0,1,-87,87,7.1,12,40,1,0.296,0,2.6,23,208,20,0
1669919107,0,1,-87,87,3.8,13,40,1,0.277,0,2.6,23,261,19,0
1669919108,0,1,-87,87,7,14,40,1,0.284,0,2.6,23,277,19,0
1669919109,0,1,-87,87,4.8,14,40,1,0.243,0,2.6,23,328,18,0
1669919110,0,1,-87,87,6.1,15,40,1,0.216,0,2.6,23,365,18,0
1669919111,0,1,-87,87,4.7,15,40,1,0.337,0,2.6,23,354,17,0
1669919112,0,1,-87,87,11,21,40,1,0.936,0,2.6,22,294,17,0
1669919113,0,1,-87,87,6.5,15,40,1,0.419,0,2.6,22,327,18,0
1669919114,0,1,-87,87,3.7,13,40,1,0.189,0,2.6,22,372,17,0
1669919115,0,1,-87,87,3,14,40,1,0.22,0,2.6,21,384,16,0
1669919116,0,1,-87,87,2.1,18,40,1,0.86,0,2.6,21,281,17,0
1669919117,0,1,-87,87,6.6,16,40,1,0.476,0,2.6,19,290,15,0
1669919118,0,1,-87,87,4.2,14,40,1,0.204,0,2.6,20,303,15,0
1669919119,0,1,-87,87,2.4,13,40,1,0.205,0,2.6,18,332,14,0
1669919120,0,1,-87,87,2.5,12,40,1,0.204,0,2.6,17,332,13,0
1669919121,0,1,-87,87,5.9,13,40,1,0.232,0,2.6,17,347,14,0
1669919122,0,1,-87,87,2.3,12,40,1,0.177,0,2.6,17,347,13,0
1669919123,0,1,-87,87,1.9,11,40,1,0.189,0,2.6,14,346,11,0
1669919124,0,1,-87,87,5.6,12,40,1,0.206,0,2.6,14,358,11,0
1669919125,0,1,-87,87,5.8,13,40,1,0.156,0,2.6,14,361,10,0
1669919126,0,1,-87,87,1.8,12,40,1,0.163,0,2.6,12,378,8.8,0
1669919127,0,1,-87,87,6.1,12,40,1,0.135,0,2.6,10,383,7.2,0
1669919128,0,1,-87,87,2.9,13,40,1,0.36,0,2.6,11,342,7.9,0
1669919129,0,1,-87,87,5.8,16,40,1,0.489,0,2.6,12,297,8.4,0
1669919130,0,1,-87,87,1.8,14,40,1,0.437,0,2.6,9,303,6.7,0
1669919131,0,1,-87,87,11,12,40,1,0.294,0,2.6,9,269,6.7,0
1669919132,0,1,-87,87,13,13,40,1,0.349,0,2.6,8,208,6.3,0
1669919133,0,1,-87,87,7.5,12,40,1,0.154,0,2.6,8,221,6.1,0
1669919134,0,1,-87,87,5.4,11,40,1,0.122,0,2.6,7,226,5.5,0
1669919135,0,1,-87,87,4.9,12,40,1,0.13,0,2.6,8,243,5.9,0
1669919136,0,1,-87,87,6.2,11,40,1,0.111,0,2.6,6,250,4.4,0
1669919137,0,1,-87,87,5.3,11,40,1,0.109,0,2.6,6,255,4.8,0
1669919138,0,1,-87,87,9.7,11,40,1,0.088,0,2.6,3,257,3,0
1669919139,0,1,-87,87,9.1,11,40,1,0.068,0,2.6,4,257,3.1,0
1669919140,0,1,-87,87,8.6,11,40,1,0.075,0,2.6,4,266,3.2,0
1669919141,0,1,-87,87,7.1,11,40,1,0.078,0,2.6,3,278,3,0
1669919142,0,1,-87,87,5,11,40,1,0.076,0,2.6,4,297,3,0
1669919143,0,1,-87,87,6.7,12,40,1,0.093,0,2.6,3,307,2.4,0
1669919144,0,1,-87,87,11,13,40,1,0.209,0,2.6,3,285,2.5,0
1669919145,0,1,-87,87,10,11,40,1,0.152,0,2.1,1,269,1.8,0
1669919146,0,1,-87,87,9.7,13,40,1,0.125,0,2.1,2,250,1.8,0
1669919147,0,1,-87,87,9.6,12,40,1,0.137,0,2.1,1,236,1.5,0
1669919148,0,1,-87,87,8.7,12,40,1,0.141,0,2.1,2,221,1.6,0
1669919149,0,1,-87,87,6.8,11,40,1,0.09,0,3.1,1,225,1.7,0
1669919150,0,1,-87,87,8.6,8,40,1.6,0.054,13,2.6,2,228,1.6,13
1669919151,0,1,-87,87,6.4,10,40,1,0.057,0,2.6,1,250,1.6,0
1669919152,0,1,-87,87,6.1,7,40,3.1,0.033,55,2.6,1,260,1.2,55
1669919153,0,1,-87,87,6.8,11,40,1,0.104,0,2.6,1,254,1.3,0
1669919154,0,1,-87,87,7.1,13,40,1,0.096,0,2.6,1,244,1.1,0
1669919155,0,1,-87,87,6.3,12,40,1,0.108,0,2.6,2,232,1.3,0
1669919156,0,1,-87,87,8.1,14,40,1,0.158,0,2.6,2,217,1.4,0
1669919157,0,1,-87,87,3.4,13,40,1,0.149,0,2.6,1,208,1,0
1669919158,0,1,-87,87,5.2,15,40,1,0.09,0,2.6,2,195,0.945,0
1669919159,0,1,-87,87,6.8,12,40,1,0.129,0,2.6,1,183,1,0
1669919160,0,1,-87,87,4.9,14,40,1,0.112,0,2.6,1,181,0.922,0
1669919161,0,1,-87,87,5.9,15,40,1,0.091,0,2.6,0,176,0.992,0
1669919162,0,1,-87,87,7.6,13,40,1,0.128,0,2.6,4,177,1,0
1669919163,0,1,-87,87,6,11,40,1,0.09,0,2.6,2,179,0.892,0
1669919164,0,1,-87,87,6.5,12,40,1.4,0.115,17,2.6,1,177,0.907,17
1669919165,0,1,-87,87,5.9,11,40,2.2,0.092,11,2.6,6,166,0.907,11
1669919166,0,1,-87,87,6.6,9,40,1,0.092,0,2.6,7,161,0.76,0
1669919167,0,1,-87,87,6.1,8,40,1,0.051,0,2.6,1,150,0.88,0
1669919168,0,1,-87,87,7.6,11,40,1,0.025,0,2.6,8,139,0.805,0
1669919169,0,1,-87,87,5.1,14,40,1.9,0.028,25,2.6,2,128,0.724,25
1669919170,0,1,-87,87,6.1,12,40,1,0.109,0,3.1,4,123,0.789,0
1669919171,0,1,-87,87,6.3,14,40,1,0.106,0,2.1,2,116,0.883,0
1669919172,0,1,-87,87,6.2,6,40,1,0.102,0,2.1,5,112,0.792,0
