[2022-12-09 15:38:39.273892] -----------------------------------------------------------
[2022-12-09 15:38:39.274023] Server listening on 5201
[2022-12-09 15:38:39.274064] -----------------------------------------------------------
[2022-12-09 15:38:57.764664] Accepted connection from 172.16.0.2, port 52298
[2022-12-09 15:38:57.908885] [  5] local 172.16.0.1 port 5201 connected to 172.16.0.2 port 53500
[2022-12-09 15:38:58.909022] [ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[2022-12-09 15:38:58.909310] [  5]   0.00-1.00   sec   104 KBytes   852 Kbits/sec  31.335 ms  0/13 (0%)  
[2022-12-09 15:38:59.908939] [  5]   1.00-2.00   sec   128 KBytes  1.05 Mbits/sec  40.748 ms  0/16 (0%)  
[2022-12-09 15:39:00.909212] [  5]   2.00-3.00   sec  96.0 KBytes   786 Kbits/sec  55.830 ms  0/12 (0%)  
[2022-12-09 15:39:01.909087] [  5]   3.00-4.00   sec   152 KBytes  1.25 Mbits/sec  64.475 ms  0/19 (0%)  
[2022-12-09 15:39:02.909205] [  5]   4.00-5.00   sec   136 KBytes  1.11 Mbits/sec  70.403 ms  0/17 (0%)  
[2022-12-09 15:39:03.909085] [  5]   5.00-6.00   sec   128 KBytes  1.05 Mbits/sec  69.971 ms  0/16 (0%)  
[2022-12-09 15:39:04.909089] [  5]   6.00-7.00   sec   128 KBytes  1.05 Mbits/sec  50.811 ms  0/16 (0%)  
[2022-12-09 15:39:05.909037] [  5]   7.00-8.00   sec   136 KBytes  1.11 Mbits/sec  42.699 ms  0/17 (0%)  
[2022-12-09 15:39:06.915297] [  5]   8.00-9.01   sec   120 KBytes   977 Kbits/sec  40.347 ms  0/15 (0%)  
[2022-12-09 15:39:07.908981] [  5]   9.01-10.00  sec   136 KBytes  1.12 Mbits/sec  47.306 ms  0/17 (0%)  
[2022-12-09 15:39:08.909032] [  5]  10.00-11.00  sec   112 KBytes   917 Kbits/sec  44.435 ms  0/14 (0%)  
[2022-12-09 15:39:09.908969] [  5]  11.00-12.00  sec   136 KBytes  1.11 Mbits/sec  56.482 ms  0/17 (0%)  
[2022-12-09 15:39:10.908960] [  5]  12.00-13.00  sec   136 KBytes  1.11 Mbits/sec  47.418 ms  0/17 (0%)  
[2022-12-09 15:39:11.909011] [  5]  13.00-14.00  sec   120 KBytes   983 Kbits/sec  58.716 ms  0/15 (0%)  
[2022-12-09 15:39:12.908968] [  5]  14.00-15.00  sec   128 KBytes  1.05 Mbits/sec  46.957 ms  0/16 (0%)  
[2022-12-09 15:39:13.909003] [  5]  15.00-16.00  sec   136 KBytes  1.11 Mbits/sec  57.653 ms  0/17 (0%)  
[2022-12-09 15:39:14.909482] [  5]  16.00-17.00  sec   128 KBytes  1.05 Mbits/sec  42.443 ms  0/16 (0%)  
[2022-12-09 15:39:15.909091] [  5]  17.00-18.00  sec   120 KBytes   983 Kbits/sec  43.396 ms  0/15 (0%)  
[2022-12-09 15:39:16.909243] [  5]  18.00-19.00  sec   128 KBytes  1.05 Mbits/sec  39.565 ms  0/16 (0%)  
