Time,Number,Longitude,Latitude,Altitude,Voltage,Battery Level,Fix,Number of Satellites,UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%],eNB rnti,eNB DL cqi,eNB DL ri,eNB DL mcs,eNB DL brate [Mbps],eNB DL ACK,eNB DL NACK,eNB DL NACK:ACK [%],eNB UL pusch,eNB UL pucch,eNB UL phr,eNB UL mcs,eNB UL brate [Mbps],eNB UL ACK,eNB UL NACK,eNB UL NACK:ACK [%],eNB UL bsr [kilo]
1670626492,1,-78.6961105,35.7272793,0.006,12.587,100,6,10,0,1,-87,87,5.7,0,40,0,0,0,2.6,23,17,8.2,0,46,15,2,0,0,0,0,0,58.7,30.9,40,22,7.9,77,0,0,0
1670626493,2,-78.6961105,35.7272793,0.006,12.587,100,6,10,0,1,-87,87,5.3,0,40,0,0,0,2.6,22,17,8.6,0,46,15,2,0,0,0,0,0,58.8,29.3,40,23,7.8,70,0,0,5.08
1670626494,3,-78.6961105,35.7272793,0.006,12.587,100,6,10,0,1,-87,87,5.2,0,40,0,0,0,2.6,23,25,7,0,46,15,0,0,0,0,0,0,58.7,21.7,40,23,7.3,68,0,0,6.92
1670626495,4,-78.6961105,35.7272792,0.006,12.587,100,6,10,0,1,-87,87,5.6,0,40,0,0,0,2.6,22,19,7,0,46,15,2,0,0,0,0,0,58.2,29.6,40,22,7,68,0,0,0
1670626496,5,-78.6961105,35.7272792,0.006,12.587,100,6,10,0,1,-87,87,6.1,0,40,0,0,0,2.6,23,37,7.8,0,46,15,0,0,0,0,0,0,58.5,35.5,40,23,9,83,0,0,0
1670626497,6,-78.6961104,35.7272792,0.006,12.587,100,6,10,0,1,-87,87,6.6,0,40,0,0,0,2.6,22,2.1,9.5,0,46,15,2,0,0,0,0,0,58.7,30.8,40,22,9,76,0,0,0
1670626498,7,-78.6961104,35.7272792,0.006,12.587,100,6,10,0,1,-87,87,6.4,0,40,0,0,0,2.6,22,22,7.3,0,46,15,2,0,0,0,0,0,58,24.5,40,22,6.9,67,0,0,4.56
1670626499,8,-78.6961104,35.7272792,0.006,12.587,100,6,10,0,1,-87,87,5.7,0,40,0,0,0,2.6,22,17,8.1,0,46,15,0,0,0,0,0,0,58.6,23.7,40,23,7.9,73,0,0,0
1670626500,9,-78.6961104,35.7272792,0.006,12.489,99,6,10,0,1,-87,87,6.3,0,40,0,0,0,2.6,23,25,9,0,46,15,2,0,0,0,0,0,58.9,35.3,40,23,8.5,75,0,0,0
1670626501,10,-78.6961104,35.7272792,0.069,12.094,99,6,10,0,1,-87,87,6.5,0,40,0,0,0,2.6,22,41,7.9,0,46,15,0,0,0,0,0,0,58.9,35.1,40,23,9.7,80,0,0,0
1670626502,11,-78.6961099,35.7272789,1.286,12.143,99,6,10,0,1,-87,87,5.7,0,40,0,0,0,2.6,22,0,8.2,0,46,15,2,0,0,0,0,0,58.7,21.4,40,22,8.1,71,0,0,0
1670626503,12,-78.6961095,35.7272787,3.234,12.193,99,6,10,0,1,-87,87,5.5,0,40,0,0,0,2.6,22,17,8.8,0,46,15,0,0,0,0,0,0,58.4,19.8,40,22,7.6,75,0,0,0
1670626504,13,-78.6961096,35.7272787,5.417,12.193,99,6,10,0,1,-87,87,5.9,0,40,0,0,0,2.6,22,8.3,7.9,0,46,15,2,0,0,0,0,0,58.9,29,40,23,8.5,77,0,0,0
1670626505,14,-78.6961099,35.7272789,7.716,12.193,99,6,10,0,1,-87,87,6.2,0,40,0,0,0,2.6,22,8.3,9.6,0,46,15,2,0,0,0,0,0,58.7,31.5,40,22,8.1,74,0,0,0
1670626506,15,-78.6961099,35.7272789,10.08,12.193,98,6,10,0,1,-87,87,6.4,0,40,0,0,0,2.6,22,8.3,8.7,0,46,15,0,0,0,0,0,0,58.4,27,40,22,9.3,87,0,0,0
1670626507,16,-78.6961098,35.7272789,12.493,12.193,98,6,10,0,1,-87,87,5.3,0,40,0,0,0,2.6,23,0,9.2,0,46,15,2,0,0,0,0,0,58.8,31,40,22,8.7,78,0,0,0
1670626508,17,-78.6961097,35.7272788,14.932,12.193,98,6,10,0,1,-87,87,5.7,0,40,0,0,0,2.6,22,0,7.3,0,46,15,0,0,0,0,0,0,58.4,0,40,23,8.9,86,0,0,0
1670626509,18,-78.6961098,35.7272788,17.392,12.193,98,6,10,0,1,-87,87,6.5,0,40,0,0,0,2.6,22,0,8.6,0,46,15,2,0,0,0,0,0,58.8,30.2,40,22,7.9,69,0,0,0
1670626510,19,-78.6961098,35.7272788,19.867,12.193,98,6,10,0,1,-87,87,6.1,0,40,0,0,0,2.6,22,8.3,8.8,0,46,15,2,0,0,0,0,0,58.3,31.3,40,23,7.6,67,0,0,0
1670626511,20,-78.6961099,35.7272788,22.34,12.193,97,6,10,0,1,-87,87,6.3,0,40,0,0,0,2.6,22,21,8.3,0,46,15,0,0,0,0,0,0,58.1,35.1,40,22,11,70,0,0,0
1670626512,21,-78.6961099,35.7272789,24.209,12.193,97,6,10,0,1,-87,87,6.3,0,40,0,0,0,2.6,23,0,9,0,46,15,2,0,0,0,0,0,58.7,20,40,23,7.4,53,0,0,14.7
1670626513,22,-78.6961099,35.7272788,27.314,12.193,97,6,10,0,1,-87,87,5.9,0,40,0,0,0,2.6,23,1.5,9,0,46,15,0,0,0,0,0,0,58.9,30.3,40,23,9.9,82,0,0,0
1670626514,23,-78.6961099,35.7272788,29.808,12.193,97,6,10,0,1,-87,87,5.8,0,40,0,0,0,2.6,22,7.8,8.1,0,46,15,2,0,0,0,0,0,58.8,28.2,40,22,7.8,72,0,0,0
1670626515,24,-78.6961098,35.7272788,31.672,12.193,97,6,10,0,1,-87,87,6.5,0,40,0,0,0,2.6,22,0,7.8,0,46,15,0,0,0,0,0,0,58.1,30.8,40,22,7.9,76,0,0,0
1670626516,25,-78.6961098,35.7272788,34.169,12.193,96,6,10,0,1,-87,87,6.4,0,40,0,0,0,2.6,22,7.8,7.6,0,46,15,2,0,0,0,0,0,58.1,35.6,40,22,8.2,81,0,0,0
1670626517,26,-78.6961097,35.7272789,36.66,12.193,96,6,10,0,1,-87,87,6,0,40,0,0,0,2.6,22,0,7.6,0,46,15,0,0,0,0,0,0,58.1,23.7,40,22,7.3,70,0,0,0
