Time,UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%]
1670629471,0,1,-87,87,13,5,40,1,0.003,0,2.6,0,0,286,0
1670629472,0,1,-87,87,5.6,5,40,1,0.019,0,2.6,18,0,0.128,0
1670629473,0,1,-87,87,5.3,0,40,0,0,0,2.6,0,0,0,0
1670629474,0,1,-87,87,4.5,14,40,1,0.018,0,2.6,16,0,0.067,0
1670629475,0,1,-87,87,5.9,15,40,1,0.22,0,2.6,21,37,6.4,0
1670629476,0,1,-87,87,-3.7,11,40,1,0.507,0,2.6,23,54,23,0
1670629477,0,1,-87,87,2.9,11,40,1,0.471,0,2.6,23,71,22,0
1670629478,0,1,-87,87,2,11,40,1,0.477,0,2.6,23,84,23,0
1670629479,0,1,-87,87,-2.1,11,40,1,0.479,0,2.6,23,101,23,0
1670629480,0,1,-87,87,3.1,11,40,1,0.495,0,2.6,23,127,23,0
1670629481,0,1,-87,87,1.3,11,40,1,0.49,0,2.6,23,160,23,0
1670629482,0,1,-87,87,-0.498,11,40,1,0.493,0,2.6,23,228,23,0
1670629483,0,1,-85,85,0.236,12,40,1,0.524,0,2.6,23,310,23,0
1670629484,0,1,-84,84,-8.2,12,40,1,0.554,0,2.6,23,382,23,0
1670629485,0,1,-84,84,7.7,15,40,1,0.825,0,2.6,23,330,23,0
1670629486,0,1,-84,84,15,20,40,1,1.4,0,2.6,23,332,23,0
1670629487,0,1,-84,84,7.8,17,40,1,0.955,0,2.6,23,360,23,0
1670629488,0,1,-84,84,8.9,17,40,1,0.916,0,2.6,23,384,23,0
1670629489,0,1,-84,84,13,19,40,1,1.2,0,2.6,23,289,23,0
1670629490,0,1,-84,84,8.4,19,40,1,1.2,0,2.6,23,284,22,0
1670629491,0,1,-84,84,4.2,11,40,1,0.474,0,2.6,23,307,23,0
1670629492,0,1,-84,84,7.6,11,40,1,0.472,0,2.6,23,328,23,0
1670629493,0,1,-84,84,4.4,11,40,1,0.466,0,2.6,23,342,23,0
1670629494,0,1,-84,84,-3,11,40,1,0.472,0,2.6,23,346,23,0
1670629495,0,1,-78,78,-0.168,11,40,1,0.472,0,2.6,23,351,23,0
1670629496,0,1,-75,75,-4,11,40,1,0.467,0,2.6,23,352,23,0
1670629497,0,1,-75,75,1.6,11,40,1,0.472,0,2.6,23,356,23,0
1670629498,0,1,-75,75,-1.1,11,40,1,0.47,0,2.6,23,365,23,0
1670629499,0,1,-75,75,6.5,11,40,1,0.469,0,2.6,23,384,23,0
1670629500,0,1,-75,75,-3.7,11,40,1,0.468,0,2.6,23,386,23,0
1670629501,0,1,-75,75,16,20,40,1,1.4,0,2.6,23,282,23,0
1670629502,0,1,-75,75,5.9,14,40,1,0.787,0,2.6,23,298,23,0
1670629503,0,1,-75,75,-4.6,11,40,1,0.449,0,2.6,23,335,23,0
1670629504,0,1,-75,75,2.5,11,40,1,0.448,0,2.6,23,369,23,0
1670629505,0,1,-75,75,1.8,11,40,1,0.449,0,2.6,23,384,23,0
1670629506,0,1,-74,74,7.5,16,40,1,0.933,0,2.6,23,297,23,0
1670629507,0,1,-71,71,14,18,40,1,1.2,0,2.6,23,271,23,0
1670629508,0,1,-71,71,-6.4,11,40,1,0.442,0,2.6,23,297,23,0
1670629509,0,1,-71,71,0.496,11,40,1,0.452,0,2.6,23,314,23,0
1670629510,0,1,-71,71,9.8,11,40,1,0.453,0,2.6,23,329,22,0
1670629511,0,1,-71,71,7.8,11,40,1,0.449,0,2.6,23,330,23,0
1670629512,0,1,-71,71,-1.5,11,40,1,0.448,0,2.6,23,333,23,0
1670629513,0,1,-71,71,-4.3,11,40,1,0.447,0,2.6,23,335,23,0
1670629514,0,1,-71,71,0.664,11,40,1,0.449,0,2.6,23,341,23,0
1670629515,0,1,-71,71,1.9,11,40,1,0.438,0,2.6,23,348,23,0
1670629516,0,1,-71,71,2.1,11,40,1,0.443,0,2.6,23,369,23,0
1670629517,0,1,-71,71,-0.792,11,40,1,0.447,0,2.6,23,384,23,0
1670629518,0,1,-71,71,8.9,17,40,1,1.1,0,2.6,23,282,23,0
1670629519,0,1,-68,68,19,18,40,1,1.1,0,2.6,23,249,23,0
1670629520,0,1,-68,68,-1.5,11,40,1,0.44,0,2.6,23,198,23,0
1670629521,0,1,-68,68,-5.2,11,40,1,0.452,0,2.6,23,219,23,0
1670629522,0,1,-68,68,-0.546,11,40,1,0.444,0,2.6,23,231,23,0
1670629523,0,1,-68,68,1.5,11,40,1,0.446,0,2.6,23,237,23,0
1670629524,0,1,-68,68,0.378,11,40,1,0.437,0,2.6,23,236,22,0
1670629525,0,1,-68,68,3.8,11,40,1,0.456,0,2.6,23,239,23,0
1670629526,0,1,-68,68,-1.6,11,40,1,0.446,0,2.6,23,240,23,0
1670629527,0,1,-68,68,-3,11,40,1,0.456,0,2.6,23,253,23,0
1670629528,0,1,-68,68,-7,11,40,1,0.443,0,2.6,23,274,23,0
1670629529,0,1,-68,68,0.935,11,40,1,0.449,0,2.6,23,307,23,0
1670629530,0,1,-68,68,-1.5,11,40,1,0.449,0,2.6,23,352,23,0
1670629531,0,1,-68,68,-1.9,11,40,1,0.459,0,2.6,23,386,23,0
