Time,Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB]
1670644158,5,0,1,0.107,0.879,5,0.0127
1670644159,5,1,2,0,0,3,0.00848
1670644160,5,2,3,0,0,3,0.00848
1670644161,5,3,4,0.0566,0.464,4,0.00424
1670644162,5,4,5,0,0,1,0.00566
1670644163,5,5,6,0,0,1,0.00707
1670644164,5,6,7,0.0834,0.684,3,0.00424
1670644165,5,7,8,0,0,2,0.00566
1670644166,5,8,9,0.082,0.672,1,0.00707
1670644167,5,9,10,0,0,2,0.00566
1670644168,5,10,11,0,0,1,0.00707
1670644169,5,11,12,0,0,3,0.00424
1670644170,5,12,13,0.0806,0.66,2,0.00424
1670644171,5,13,14,0,0,1,0.00424
1670644172,5,14,15,0.0834,0.684,2,0.00566
1670644173,5,15,16,0,0,1,0.00707
1670644174,5,16,17,0,0,2,0.00566
1670644175,5,17,18,0,0,1,0.00707
1670644176,5,18,19,0.0891,0.73,3,0.00424
1670644177,5,19,20,0,0,2,0.00424
1670644178,5,20,21,0,0,1,0.00707
1670644179,5,21,22,0.0877,0.719,2,0.00566
1670644180,5,22,23,0,0,1,0.00707
1670644181,5,23,24,0,0,4,0.00283
1670644182,5,24,25,0,0,2,0.00424
1670644183,5,25,26,0.0806,0.66,1,0.00566
1670644184,5,26,27,0,0,2,0.00424
1670644185,5,27,28,0,0,3,0.00283
1670644186,5,28,29,0,0,1,0.00566
1670644187,5,29,30,0,0,2,0.00424
1670644188,5,30,31,0.0792,0.649,3,0.00283
1670644189,5,31,32,0,0,1,0.00566
1670644190,5,32,33,0,0,2,0.00424
1670644191,5,33,34.01,0,0,3,0.00283
1670644192,5,34.01,35,0.0834,0.687,1,0.00566
1670644193,5,35,36,0,0,2,0.00424
1670644194,5,36,37,0,0,1,0.00566
1670644195,5,37,38,0,0,3,0.00283
1670644196,5,38,39,0,0,2,0.00424
1670644197,5,39,40,0.0806,0.66,1,0.00566
1670644198,5,40,41,0,0,3,0.00283
1670644199,5,41,42,0,0,2,0.00424
1670644200,5,42,43,0,0,1,0.00424
1670644201,5,43,44,0.0792,0.649,2,0.00424
1670644202,5,44,45,0,0,2,0.00424
1670644203,5,45,46,0,0,1,0.00424
1670644204,5,46,47,0,0,2,0.00424
1670644205,5,47,48,0,0,1,0.00424
1670644206,5,48,49,0.082,0.672,1,0.00424
1670644207,5,49,50,0,0,2,0.00283
1670644208,5,50,51,0,0,2,0.00283
1670644209,5,51,52,0,0,1,0.00424
1670644210,5,52,53,0,0,2,0.00283
1670644211,5,53,54,0,0,1,0.00283
1670644212,5,54,55,0,0,2,0.00283
1670644213,5,55,56,0,0,1,0.00283
1670644214,5,56,57,0.0778,0.637,2,0.00424
1670644215,5,57,58,0,0,2,0.00283
1670644216,5,58,59,0,0,1,0.00424
1670644217,5,59,60,0,0,2,0.00283
1670644218,5,60,61,0,0,2,0.00424
1670644219,5,61,62,0,0,2,0.00141
1670644220,5,62,63,0.0778,0.637,1,0.00424
1670644221,5,63,64,0,0,2,0.00283
1670644222,5,64,65,0,0,2,0.00283
1670644223,5,65,66,0,0,1,0.00424
1670644224,5,66,67,0,0,1,0.00566
1670644225,5,67,68,0.0834,0.684,2,0.00283
1670644226,5,68,69,0,0,2,0.00283
1670644227,5,69,70,0,0,1,0.00424
1670644228,5,70,71,0,0,2,0.00283
1670644229,5,71,72,0,0,2,0.00283
1670644230,5,72,73,0,0,2,0.00283
1670644231,5,73,74,0,0,2,0.00283
1670644232,5,74,75,0.082,0.672,1,0.00566
1670644233,5,75,76,0,0,3,0.00424
1670644234,5,76,77,0,0,2,0.00283
1670644235,5,77,78,0,0,2,0.00283
1670644236,5,78,79,0,0,2,0.00283
1670644237,5,79,80,0,0,1,0.00283
1670644238,5,80,81,0,0,2,0.00283
1670644239,5,81,82,0,0,2,0.00283
1670644240,5,82,83,0.0778,0.637,2,0.00283
1670644241,5,83,84,0,0,2,0.00283
1670644242,5,84,85,0,0,2,0.00283
1670644243,5,85,86,0,0,2,0.00424
1670644244,5,86,87,0,0,2,0.00424
1670644245,5,87,88,0,0,2,0.00283
1670644246,5,88,89,0,0,2,0.00283
1670644247,5,89,90,0,0,2,0.00283
1670644248,5,90,91,0.0806,0.661,1,0.00424
1670644249,5,91,92,0,0,2,0.00283
1670644250,5,92,93,0,0,2,0.00283
1670644251,5,93,94,0,0,1,0.00566
1670644252,5,94,95,0,0,3,0.00424
