[2022-12-09 22:48:54.875189] -----------------------------------------------------------
[2022-12-09 22:48:54.875264] Server listening on 5201
[2022-12-09 22:48:54.875296] -----------------------------------------------------------
[2022-12-09 22:49:17.304520] Accepted connection from 172.16.0.2, port 51354
[2022-12-09 22:49:17.573377] [  5] local 172.16.0.1 port 5201 connected to 172.16.0.2 port 51546
[2022-12-09 22:49:18.575362] [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[2022-12-09 22:49:18.575478] [  5]   0.00-1.00   sec   107 KBytes   879 Kbits/sec    5   12.7 KBytes       
[2022-12-09 22:49:19.574491] [  5]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    3   8.48 KBytes       
[2022-12-09 22:49:20.574434] [  5]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    3   8.48 KBytes       
[2022-12-09 22:49:21.573763] [  5]   3.00-4.00   sec  56.6 KBytes   464 Kbits/sec    4   4.24 KBytes       
[2022-12-09 22:49:22.574397] [  5]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    1   5.66 KBytes       
[2022-12-09 22:49:23.574762] [  5]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec    1   7.07 KBytes       
[2022-12-09 22:49:24.574241] [  5]   6.00-7.00   sec  83.4 KBytes   684 Kbits/sec    3   4.24 KBytes       
[2022-12-09 22:49:25.574296] [  5]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    2   5.66 KBytes       
[2022-12-09 22:49:26.573539] [  5]   8.00-9.00   sec  82.0 KBytes   672 Kbits/sec    1   7.07 KBytes       
[2022-12-09 22:49:27.574410] [  5]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    2   5.66 KBytes       
[2022-12-09 22:49:28.574583] [  5]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    1   7.07 KBytes       
[2022-12-09 22:49:29.574390] [  5]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    3   4.24 KBytes       
[2022-12-09 22:49:30.574316] [  5]  12.00-13.00  sec  80.6 KBytes   660 Kbits/sec    2   4.24 KBytes       
[2022-12-09 22:49:31.574512] [  5]  13.00-14.00  sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[2022-12-09 22:49:32.573680] [  5]  14.00-15.00  sec  83.4 KBytes   684 Kbits/sec    2   5.66 KBytes       
[2022-12-09 22:49:33.574426] [  5]  15.00-16.00  sec  0.00 Bytes  0.00 bits/sec    1   7.07 KBytes       
[2022-12-09 22:49:34.574444] [  5]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    2   5.66 KBytes       
[2022-12-09 22:49:35.574072] [  5]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    1   7.07 KBytes       
[2022-12-09 22:49:36.574219] [  5]  18.00-19.00  sec  89.1 KBytes   730 Kbits/sec    3   4.24 KBytes       
[2022-12-09 22:49:37.575213] [  5]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[2022-12-09 22:49:38.574425] [  5]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    1   7.07 KBytes       
[2022-12-09 22:49:39.573876] [  5]  21.00-22.00  sec  87.7 KBytes   719 Kbits/sec    2   5.66 KBytes       
[2022-12-09 22:49:40.574321] [  5]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    1   7.07 KBytes       
[2022-12-09 22:49:41.574417] [  5]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    4   2.83 KBytes       
[2022-12-09 22:49:42.574205] [  5]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[2022-12-09 22:49:43.573916] [  5]  25.00-26.00  sec  80.6 KBytes   660 Kbits/sec    1   5.66 KBytes       
[2022-12-09 22:49:44.574258] [  5]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[2022-12-09 22:49:45.574353] [  5]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    3   2.83 KBytes       
[2022-12-09 22:49:46.574295] [  5]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    1   5.66 KBytes       
[2022-12-09 22:49:47.574233] [  5]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[2022-12-09 22:49:48.574238] [  5]  30.00-31.00  sec  79.2 KBytes   649 Kbits/sec    3   2.83 KBytes       
[2022-12-09 22:49:49.574208] [  5]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    1   5.66 KBytes       
[2022-12-09 22:49:50.574471] [  5]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[2022-12-09 22:49:51.579119] [  5]  33.00-34.01  sec  0.00 Bytes  0.00 bits/sec    3   2.83 KBytes       
[2022-12-09 22:49:52.574064] [  5]  34.01-35.00  sec  83.4 KBytes   687 Kbits/sec    1   5.66 KBytes       
[2022-12-09 22:49:53.574327] [  5]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[2022-12-09 22:49:54.574341] [  5]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    1   5.66 KBytes       
[2022-12-09 22:49:55.574358] [  5]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    3   2.83 KBytes       
