Time,Iperf Svr ID,Iperf Svr Interval Start [sec],Iperf Svr Interval End [sec],Iperf Svr Transfer [MB],Iperf Svr Bandwidth [Mbps]
1670644158,4,0,1,0.0127,0.104
1670644159,4,1,2,0.024,0.197
1670644160,4,2,3,0.0127,0.104
1670644161,4,3,4,0.0127,0.104
1670644162,4,4,5,0.0156,0.127
1670644163,4,5,6,0.0283,0.232
1670644164,4,6,7,0.0354,0.29
1670644165,4,7,8,0.0311,0.255
1670644166,4,8,9,0.0297,0.243
1670644167,4,9,10,0.0184,0.151
1670644168,4,10,11,0.0297,0.243
1670644169,4,11,12,0.0311,0.255
1670644170,4,12,13,0.0269,0.22
1670644171,4,13,14,0.0297,0.243
1670644172,4,14,15,0.0269,0.22
1670644173,4,15,16,0.0297,0.243
1670644174,4,16,17,0.0184,0.151
1670644175,4,17,18,0.0297,0.243
1670644176,4,18,19,0.0297,0.243
1670644177,4,19,20,0.0297,0.243
1670644178,4,20,21,0.0283,0.232
1670644179,4,21,22,0.0184,0.151
1670644180,4,22,23,0.0297,0.243
1670644181,4,23,24,0.0141,0.116
1670644182,4,24,25,0.0212,0.174
1670644183,4,25,26,0.0156,0.127
1670644184,4,26,27,0.0113,0.0927
1670644185,4,27,28,0.024,0.197
1670644186,4,28,29,0.0184,0.151
1670644187,4,29,30,0.0113,0.0926
1670644188,4,30,31,0.0226,0.185
1670644189,4,31,32,0.0212,0.174
1670644190,4,32,33,0.0113,0.0927
1670644191,4,33,34,0.0226,0.185
1670644192,4,34,35,0.0212,0.174
1670644193,4,35,36,0.0113,0.0926
1670644194,4,36,37,0.0156,0.127
1670644195,4,37,38,0.024,0.197
1670644196,4,38,39,0.0141,0.116
1670644197,4,39,40,0.0156,0.127
1670644198,4,40,41,0.024,0.197
1670644199,4,41,42,0.0141,0.116
1670644200,4,42,43,0.0156,0.127
1670644201,4,43,44,0.0198,0.162
1670644202,4,44,45,0.0198,0.162
1670644203,4,45,46,0.0099,0.0811
1670644204,4,46,47,0.0212,0.174
1670644205,4,47,48,0.024,0.197
1670644206,4,48,49,0.024,0.197
1670644207,4,49,50,0.00424,0.0347
1670644208,4,50,51,0.00848,0.0695
1670644209,4,51,52,0.0113,0.0927
1670644210,4,52,53,0.00848,0.0695
1670644211,4,53,54,0.00424,0.0347
1670644212,4,54,55,0.0099,0.0811
1670644213,4,55,56,0.00424,0.0347
1670644214,4,56,57,0.0212,0.174
1670644215,4,57,58,0.0099,0.0811
1670644216,4,58,59,0.017,0.139
1670644217,4,59,60,0.00566,0.0463
1670644218,4,60,61,0.0212,0.174
1670644219,4,61,62,0.00707,0.0579
1670644220,4,62,63,0.0127,0.104
1670644221,4,63,64,0.0141,0.116
1670644222,4,64,65,0.00848,0.0695
1670644223,4,65,66,0.017,0.139
1670644224,4,66,67,0.0283,0.232
1670644225,4,67,68,0.0156,0.127
1670644226,4,68,69,0.00848,0.0695
1670644227,4,69,70,0.0113,0.0926
1670644228,4,70,71,0.0099,0.0812
1670644229,4,71,72,0.00848,0.0695
1670644230,4,72,73,0.0099,0.0811
1670644231,4,73,74,0.00848,0.0695
1670644232,4,74,75,0.0141,0.116
1670644233,4,75,76,0.00848,0.0695
1670644234,4,76,77,0.00566,0.0463
1670644235,4,77,78,0.0141,0.116
1670644236,4,78,79,0.0099,0.0811
1670644237,4,79,80,0.0127,0.104
1670644238,4,80,81,0.00848,0.0695
1670644239,4,81,82,0.0099,0.0811
1670644240,4,82,83,0.00848,0.0695
1670644241,4,83,84,0.0127,0.104
1670644242,4,84,85,0.00707,0.0579
1670644243,4,85,86,0.0099,0.0811
1670644244,4,86,87,0.0141,0.116
1670644245,4,87,88,0.00848,0.0695
1670644246,4,88,89,0.00848,0.0695
1670644247,4,89,90,0.00848,0.0695
1670644248,4,90,91,0.0113,0.0927
1670644249,4,91,92,0.0141,0.116
1670644250,4,92,93,0.00848,0.0695
1670644251,4,93,94,0.0297,0.243
1670644252,4,94,95,0.0113,0.0927
1670644253,4,95,96,0.00566,0.0463
1670644254,4,96,97,0.00848,0.0695
1670644255,4,97,98,0.00707,0.0579
1670644256,4,98,99,0.00707,0.0579
1670644257,4,99,100,0.0127,0.104
1670644258,4,100,101,0.0141,0.116
1670644259,4,101,102,0.00848,0.0695
1670644260,4,102,103,0.00566,0.0463
1670644261,4,103,104,0.0184,0.151
1670644262,4,104,105,0.0127,0.104
1670644263,4,105,106,0.0141,0.116
1670644264,4,106,107,0.017,0.139
1670644265,4,107,108,0.00848,0.0695
1670644266,4,108,109,0.00848,0.0695
1670644267,4,109,110,0.00848,0.0695
1670644268,4,110,111,0.0141,0.116
1670644269,4,111,112,0.00707,0.0579
1670644270,4,112,113,0.00566,0.0463
1670644271,4,113,114,0.00566,0.0463
1670644272,4,114,115,0.00424,0.0347
1670644273,4,115,116,0.00848,0.0695
1670644274,4,116,117,0.00424,0.0347
1670644275,4,117,118,0.00848,0.0695
1670644276,4,118,119,0.0156,0.127
1670644277,4,119,120,0.0113,0.0927
1670644278,4,120,121,0.0141,0.116
1670644279,4,121,122,0.0255,0.209
1670644280,4,122,123,0.00848,0.0695
1670644281,4,123,124,0.0099,0.0811
1670644282,4,124,125,0.00707,0.0579
1670644283,4,125,126,0.00566,0.0463
1670644284,4,126,127,0.00848,0.0695
1670644285,4,127,128,0.0156,0.127
1670644286,4,128,129,0.00848,0.0695
1670644287,4,129,130,0.00848,0.0694
1670644288,4,130,131,0.0099,0.0812
1670644289,4,131,132,0.0099,0.0811
1670644290,4,132,133,0.00707,0.0579
1670644291,4,133,134,0.0099,0.0811
1670644292,4,134,135,0.0099,0.0811
1670644293,4,135,136,0.00424,0.0347
1670644294,4,136,137,0.017,0.139
1670644295,4,137,138,0.0113,0.0927
1670644296,4,138,139,0.0141,0.116
1670644297,4,139,140,0.0184,0.151
