Time,Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB]
1669260830,4,0,1,0.717,5.87,0,0.0693
1669260831,4,1,2,0.573,4.69,0,0.0933
1669260832,4,2,3,0.636,5.21,0,0.116
1669260833,4,3,4,0.573,4.69,0,0.14
1669260834,4,4,5,0.573,4.7,0,0.163
1669260835,4,5,6,0.636,5.21,0,0.185
1669260836,4,6,7,0.573,4.69,0,0.209
1669260837,4,7,8,0.764,6.25,0,0.264
1669260838,4,8,9,0.954,7.82,0,0.352
1669260839,4,9,10,1.018,8.34,0,0.46
1669260840,4,10,11,0.191,1.56,59,0.318
1669260841,4,11,12,0.954,7.81,8,0.339
1669260842,4,12,13,0.318,2.61,0,0.369
1669260843,4,13,14,0.318,2.61,0,0.406
1669260844,4,14,15,0.191,1.56,8,0.389
1669260845,4,15,16,0,0,21,0.291
1669260846,4,16,17,0.764,6.25,0,0.3
1669260847,4,17,18,0.509,4.17,0,0.32
1669260848,4,18,19,0.318,2.61,0,0.339
1669260849,4,19,20,0.445,3.65,0,0.354
1669260850,4,20,21,0.445,3.65,0,0.359
1669260851,4,21,22,0.382,3.13,0,0.361
1669260852,4,22,23,0.382,3.13,0,0.362
1669260853,4,23,24,0.445,3.64,0,0.366
1669260854,4,24,25,0.509,4.18,0,0.375
1669260855,4,25,26,0.445,3.65,0,0.393
1669260856,4,26,27,0.255,2.09,7,0.358
1669260857,4,27,28,0.318,2.61,12,0.287
1669260858,4,28,29,0.827,6.77,0,0.313
1669260859,4,29,30,0.445,3.65,0,0.349
1669260860,4,30,31,0.445,3.65,0,0.378
1669260861,4,31,32,0.445,3.65,0,0.395
1669260862,4,32,33,0.191,1.57,7,0.307
1669260863,4,33,34,0.764,6.25,3,0.281
1669260864,4,34,35,0.509,4.17,0,0.303
1669260865,4,35,36,0.445,3.65,0,0.321
1669260866,4,36,37,0.509,4.17,0,0.332
1669260867,4,37,38,0.445,3.65,0,0.338
1669260868,4,38,39,0.509,4.17,0,0.339
1669260869,4,39,40,0.445,3.65,0,0.341
1669260870,4,40,41,0.445,3.65,0,0.344
1669260871,4,41,42,0.445,3.65,0,0.354
1669260872,4,42,43,0.509,4.17,0,0.372
1669260873,4,43,44,0.445,3.65,0,0.403
1669260874,4,44,45,0.127,1.04,14,0.328
1669260875,4,45,46,0.7,5.74,9,0.293
1669260876,4,46,47,0.509,4.17,0,0.325
1669260877,4,47,48,0.445,3.65,0,0.361
1669260878,4,48,49,0.382,3.13,0,0.386
