Time,Iperf Svr ID,Iperf Svr Interval Start [sec],Iperf Svr Interval End [sec],Iperf Svr Transfer [MB],Iperf Svr Bandwidth [Mbps]
1669919058,5,0,1,0.416,3.41
1669919059,5,1,2,0.649,5.31
1669919060,5,2,3,0.643,5.28
1669919061,5,3,4,0.663,5.43
1669919062,5,4,5,0.662,5.42
1669919063,5,5,6,0.649,5.32
1669919064,5,6,7,0.638,5.23
1669919065,5,7,8,0.648,5.31
1669919066,5,8,9,0.655,5.36
1669919067,5,9,10,0.53,4.34
1669919068,5,10,11,0.764,6.26
1669919069,5,11,12,0.646,5.29
1669919070,5,12,13,0.653,5.35
1669919071,5,13,14,0.219,1.79
1669919072,5,14,15,1.06,8.91
1669919073,5,15,16,0.67,5.49
1669919074,5,16,17,0.65,5.33
1669919075,5,17,18,0.626,5.13
1669919076,5,18,19,0.649,5.32
1669919077,5,19,20,0.652,5.34
1669919078,5,20,21,0.656,5.37
1669919079,5,21,22,0.66,5.41
1669919080,5,22,23,0.646,5.29
1669919081,5,23,24,0.659,5.4
1669919082,5,24,25,0.32,2.62
1669919083,5,25,26,0.993,8.13
1669919084,5,26,27,0.656,5.38
1669919085,5,27,28,0.641,5.25
1669919086,5,28,29,0.658,5.39
1669919087,5,29,30,0.29,2.38
1669919088,5,30,31,1.001,8.2
1669919089,5,31,32,0.659,5.39
1669919090,5,32,33,0.625,5.13
1669919091,5,33,34,0.659,5.4
1669919092,5,34,35,0.666,5.46
1669919093,5,35,36,0.628,5.14
1669919094,5,36,37,0.676,5.54
1669919095,5,37,38,0.66,5.41
1669919096,5,38,39,0.65,5.33
1669919097,5,39,40,0.659,5.4
1669919098,5,40,41,0.338,2.77
1669919099,5,41,42,0.922,7.55
1669919100,5,42,43,0.652,5.34
1669919101,5,43,44,0.641,5.25
1669919102,5,44,45,0.624,5.11
1669919103,5,45,46,0.649,5.32
1669919104,5,46,47,0.605,4.96
1669919105,5,47,48,0.615,5.04
1669919106,5,48,49,0.59,4.83
1669919107,5,49,50,0.567,4.65
1669919108,5,50,51,0.587,4.81
1669919109,5,51,52,0.519,4.25
1669919110,5,52,53,0.479,3.93
1669919111,5,53,54,0.41,3.36
1669919112,5,54,55,0.0778,0.637
1669919113,5,55,56,0.868,7.12
1669919114,5,56,57,0.505,4.14
1669919115,5,57,58,0.455,3.73
1669919116,5,58,59,0.218,1.78
