Number,Longitude,Latitude,Altitude,Voltage,Battery Level,Time,Fix,Number of Satellites
1,-78.6961094,35.7272785,0.001,12.587,100,1669919061,6,10
2,-78.6961094,35.7272785,0.001,12.587,100,1669919062,6,10
3,-78.6961094,35.7272785,0.001,12.587,100,1669919063,6,10
4,-78.6961094,35.7272785,0.001,12.587,100,1669919064,6,10
5,-78.6961094,35.7272785,0.002,12.587,100,1669919065,6,10
6,-78.6961094,35.7272785,0.002,12.587,100,1669919066,6,10
7,-78.6961094,35.7272784,0.002,12.587,100,1669919067,6,10
8,-78.6961094,35.7272784,0.002,12.587,100,1669919068,6,10
9,-78.6961093,35.7272784,0.001,12.489,99,1669919069,6,10
10,-78.6961093,35.7272784,0.064,12.143,99,1669919070,6,10
11,-78.6961099,35.7272789,1.285,12.143,99,1669919071,6,10
12,-78.6961106,35.7272794,3.23,12.193,99,1669919072,6,10
13,-78.6961104,35.7272794,5.416,12.193,99,1669919073,6,10
14,-78.6961101,35.7272791,7.715,12.193,99,1669919074,6,10
15,-78.6961101,35.727279,10.082,12.193,98,1669919075,6,10
16,-78.6961102,35.7272791,12.494,12.193,98,1669919076,6,10
17,-78.6961103,35.7272792,14.938,12.193,98,1669919077,6,10
18,-78.6961103,35.7272792,17.396,12.193,98,1669919078,6,10
19,-78.6961102,35.7272791,19.867,12.193,98,1669919079,6,10
20,-78.6961101,35.727279,22.345,12.193,97,1669919080,6,10
21,-78.6961102,35.7272791,24.83,12.193,97,1669919081,6,10
22,-78.6961103,35.7272792,27.319,12.193,97,1669919082,6,10
23,-78.6961104,35.7272793,29.81,12.193,97,1669919083,6,10
24,-78.6961104,35.7272793,32.299,12.193,97,1669919084,6,10
25,-78.6961105,35.7272794,34.789,12.193,96,1669919085,6,10
26,-78.6961106,35.7272794,37.28,12.193,96,1669919086,6,10
27,-78.6961106,35.7272794,39.773,12.193,96,1669919087,6,10
28,-78.6961107,35.7272794,42.263,12.193,96,1669919088,6,10
29,-78.6961106,35.7272794,44.758,12.193,96,1669919089,6,10
