num,Longitude,Latitude,Altitude,Volt,Battery Level,time,Fix,Number of Satellite,thoughput
1,-78.6961117,35.72728,0.001,12.587,100,40:50.6,6,10,15.3
2,-78.6961117,35.72728,0.001,12.587,100,40:51.6,6,10,15.4
3,-78.6961116,35.72728,0.001,12.587,100,40:52.6,6,10,15.5
4,-78.6961116,35.72728,0.002,12.587,100,40:53.6,6,10,15.3
5,-78.6961116,35.72728,0.002,12.587,100,40:54.6,6,10,15.4
6,-78.6961116,35.72728,0.002,12.587,100,40:55.6,6,10,15.5
7,-78.6961116,35.72728,0.002,12.587,100,40:56.6,6,10,15.4
8,-78.6961115,35.7272799,0.002,12.587,100,40:57.6,6,10,15.5
9,-78.6961115,35.7272799,0.002,12.439,99,40:58.6,6,10,15.5
10,-78.6961115,35.7272799,0.075,12.094,99,40:59.6,6,10,15.6
11,-78.6961099,35.7272789,1.345,12.193,99,41:00.6,6,10,15.5
12,-78.6961083,35.7272777,3.304,12.193,99,41:01.6,6,10,15.6
13,-78.6961086,35.727278,5.495,12.193,99,41:02.6,6,10,15.4
14,-78.6961092,35.7272785,7.797,12.193,99,41:03.6,6,10,15.4
15,-78.6961093,35.7272784,10.169,12.193,98,41:04.6,6,10,15.4
16,-78.6961089,35.7272781,12.583,12.193,98,41:05.6,6,10,15.4
17,-78.6961087,35.7272779,15.025,12.193,98,41:06.7,6,10,15.4
18,-78.6961087,35.7272779,17.486,12.193,98,41:07.7,6,10,15.3
19,-78.6961087,35.727278,19.958,12.193,98,41:08.7,6,10,15.4
20,-78.6961087,35.727278,22.359,12.193,97,41:09.7,6,10,15.5
21,-78.6961086,35.7272779,24.066,12.242,97,41:10.7,6,10,15.5
22,-78.6961085,35.7272779,24.702,12.242,97,41:11.7,6,10,15.5
23,-78.6961086,35.7272779,24.876,12.242,97,41:12.7,6,10,15.3
24,-78.6961085,35.7272779,24.938,12.242,97,41:13.7,6,10,15.3
25,-78.6961084,35.7272779,24.962,12.242,96,41:14.7,6,10,15.4
26,-78.6961084,35.7272779,24.972,12.242,96,41:15.7,6,10,15.4
27,-78.6961089,35.7272786,24.978,12.242,96,41:16.7,6,10,15.5
28,-78.6961128,35.7272849,24.982,12.242,96,41:17.7,6,10,15.6
29,-78.6961208,35.7272983,24.984,12.242,96,41:18.7,6,10,15.5
30,-78.6961335,35.7273191,24.989,12.193,96,41:19.7,6,10,15.3
31,-78.6961499,35.7273457,24.993,12.193,95,41:20.7,6,10,15.1
32,-78.696168,35.7273742,24.997,12.242,95,41:21.7,6,10,15.4
33,-78.6961852,35.7274,25,12.242,95,41:22.7,6,10,15.2
34,-78.6961985,35.7274185,24.995,12.242,95,41:23.7,6,10,13.0
35,-78.6962115,35.7274277,24.984,12.242,95,41:24.7,6,10,17.1
36,-78.6962335,35.7274314,24.981,12.193,95,41:25.7,6,10,14.9
37,-78.6962644,35.7274344,24.988,12.242,94,41:26.7,6,10,14.6
38,-78.6962978,35.7274376,25,12.242,94,41:27.7,6,10,14.0
39,-78.6963263,35.7274402,25.007,12.242,94,41:28.7,6,10,15.0
40,-78.6963499,35.7274413,24.999,12.242,94,41:29.7,6,10,14.3
41,-78.6963787,35.7274412,24.996,12.193,94,41:30.7,6,10,13.7
42,-78.6964144,35.7274409,24.998,12.193,94,41:31.7,6,10,13.9
43,-78.6964556,35.7274405,25,12.193,93,41:32.7,6,10,13.4
44,-78.6964998,35.7274401,25.004,12.242,93,41:33.7,6,10,12.8
45,-78.6965423,35.7274395,25.005,12.242,93,41:34.7,6,10,12.3
46,-78.6965778,35.7274388,25.002,12.242,93,41:35.7,6,10,11.6
47,-78.6966015,35.7274382,24.998,12.242,93,41:36.7,6,10,9.93
48,-78.696622,35.7274373,24.989,12.242,92,41:37.7,6,10,9.13
49,-78.6966498,35.7274363,24.989,12.193,92,41:38.7,6,10,8.90
50,-78.6966854,35.7274353,24.996,12.193,92,41:39.7,6,10,7.40
51,-78.6967268,35.7274342,24.999,12.193,92,41:40.7,6,10,7.48
