Time,Number,Longitude,Latitude,Altitude,Voltage,Battery Level,Fix,Number of Satellites,ID,Interval Start,Interval End,Transfer,Bandwidth
1669260833,1,-78.6961088,35.7272779,0,12.587,100,6,10,5,3,4,0.467,3.82
1669260834,2,-78.6961088,35.7272779,0.001,12.587,100,6,10,5,4,5,0.458,3.75
1669260835,3,-78.6961088,35.7272779,0.001,12.587,100,6,10,5,5,6,0.471,3.86
1669260836,4,-78.6961088,35.7272779,0.002,12.587,100,6,10,5,6,7,0.465,3.81
1669260837,5,-78.6961088,35.7272779,0.002,12.587,100,6,10,5,7,8,0.458,3.75
1669260838,6,-78.6961088,35.7272779,0.002,12.587,100,6,10,5,8,9,0.468,3.84
1669260839,7,-78.6961088,35.7272779,0.002,12.587,100,6,10,5,9,10,0.477,3.9
1669260840,8,-78.6961088,35.7272779,0.002,12.587,100,6,10,5,10,11,0.099,0.81
1669260841,9,-78.6961088,35.7272779,0.002,12.439,99,6,10,5,11,12,0.803,6.58
1669260842,10,-78.6961088,35.7272779,0.065,12.094,99,6,10,5,12,13,0.382,3.13
1669260843,11,-78.6961099,35.7272789,1.291,12.193,99,6,10,5,13,14,0.32,2.62
1669260844,12,-78.6961113,35.72728,3.222,12.193,99,6,10,5,14,15,0.233,1.91
1669260845,13,-78.6961109,35.7272797,5.406,12.193,99,6,10,5,15,16,0,0
1669260846,14,-78.6961103,35.7272792,7.701,12.193,99,6,10,5,16,17,0.775,6.35
1669260847,15,-78.6961102,35.7272792,10.076,12.193,98,6,10,5,17,18,0.38,3.11
1669260848,16,-78.6961105,35.7272793,12.482,12.193,98,6,10,5,18,19,0.366,3
1669260849,17,-78.6961106,35.7272794,14.927,12.193,98,6,10,5,19,20,0.474,3.88
1669260850,18,-78.6961106,35.7272794,17.385,12.193,98,6,10,5,20,21,0.444,3.64
1669260851,19,-78.6961105,35.7272794,19.863,12.193,98,6,10,5,21,22,0.368,3.01
1669260852,20,-78.6961104,35.7272793,22.338,12.193,97,6,10,5,22,23,0.389,3.19
1669260853,21,-78.6961105,35.7272793,24.825,12.193,97,6,10,5,23,24,0.451,3.69
1669260855,22,-78.6961106,35.7272794,27.306,12.193,97,6,10,5,25,26,0.469,3.84
1669260856,23,-78.6961107,35.7272796,29.796,12.193,97,6,10,5,26,27,0.31,2.54
1669260857,24,-78.6961109,35.7272796,32.281,12.193,97,6,10,5,27,28,0.325,2.67
1669260858,25,-78.696111,35.7272797,34.772,12.193,96,6,10,5,28,29,0.744,6.09
1669260859,26,-78.696111,35.7272797,37.264,12.193,96,6,10,5,29,30,0.458,3.75
1669260860,27,-78.6961111,35.7272798,39.757,12.193,96,6,10,5,30,31,0.471,3.86
1669260861,28,-78.6961111,35.7272799,42.254,12.193,96,6,10,5,31,32,0.452,3.71
1669260862,29,-78.6961113,35.72728,44.752,12.193,96,6,10,5,32,33,0.184,1.51
1669260863,30,-78.6961114,35.72728,47.187,12.193,95,6,10,5,33,34,0.755,6.19
1669260864,31,-78.6961114,35.72728,48.956,12.242,95,6,10,5,34,35,0.477,3.9
1669260865,32,-78.6961114,35.72728,49.659,12.242,95,6,10,5,35,36,0.464,3.8
1669260866,33,-78.6961113,35.7272799,49.852,12.242,95,6,10,5,36,37,0.462,3.79
1669260867,34,-78.6961113,35.7272799,49.923,12.242,95,6,10,5,37,38,0.474,3.88
1669260868,35,-78.6961114,35.72728,49.951,12.242,94,6,10,5,38,39,0.477,3.91
1669260869,36,-78.6961118,35.72728,49.962,12.242,94,6,10,5,39,40,0.471,3.85
1669260870,37,-78.6961171,35.7272796,49.967,12.242,94,6,10,5,40,41,0.455,3.73
1669260871,38,-78.6961303,35.7272785,49.968,12.242,94,6,10,5,41,42,0.479,3.93
1669260872,39,-78.6961521,35.7272769,49.966,12.242,94,6,10,5,42,43,0.462,3.79
1669260873,40,-78.6961836,35.7272747,49.967,12.193,94,6,10,5,43,44,0.465,3.81
1669260874,41,-78.6962225,35.727272,49.969,12.193,93,6,10,5,44,45,0.187,1.53
1669260875,42,-78.6962665,35.7272691,49.972,12.193,93,6,10,5,45,46,0.7,5.74
1669260876,43,-78.6963136,35.7272662,49.977,12.193,93,6,10,5,46,47,0.448,3.67
1669260877,44,-78.6963629,35.7272632,49.984,12.193,93,6,10,5,47,48,0.426,3.49
1669260878,45,-78.6964132,35.7272601,49.991,12.193,93,6,10,5,48,49,0.413,3.38
1669260879,46,-78.6964617,35.727257,49.998,12.242,93,6,10,5,49,50,0.4,3.28
1669260880,47,-78.6964939,35.727255,50.003,12.242,92,6,10,5,50,51,0,0
1669260881,48,-78.6965274,35.7272526,50.006,12.242,92,6,10,5,51,52,0.798,6.54
1669260882,49,-78.6965472,35.7272464,50.01,12.242,92,6,10,5,52,53,0.397,3.26
1669260883,50,-78.6965488,35.7272339,50.013,12.242,92,6,10,5,53,54,0.379,3.1
1669260884,51,-78.6965465,35.7272128,50.015,12.193,92,6,10,5,54,55,0.346,2.84
1669260885,52,-78.6965438,35.7271841,50.016,12.193,92,6,10,5,55,56,0.358,2.93
1669260886,53,-78.6965421,35.7271589,50.014,12.193,91,6,10,5,56,57,0.363,2.98
1669260887,54,-78.6965404,35.7271223,50.01,12.193,91,6,10,5,57,58,0.28,2.29
1669260888,55,-78.6965388,35.7270731,50.006,12.193,91,6,10,5,58,59,0.233,1.91
1669260889,56,-78.6965381,35.7270427,50.003,12.193,91,6,10,5,59,60,0.247,2.03
1669260890,57,-78.6965367,35.7269906,50.003,12.193,91,6,10,5,60,61,0.24,1.97
1669260891,58,-78.6965354,35.7269485,50.003,12.193,90,6,10,5,61,62,0.243,1.99
1669260892,59,-78.6965343,35.7269164,50.002,12.193,90,6,10,5,62,63,0.26,2.13
1669260893,60,-78.6965326,35.7268736,50.003,12.193,90,6,10,5,63,64,0.283,2.32
1669260894,61,-78.6965306,35.7268302,50.002,12.193,90,6,10,5,64,65,0.32,2.62
1669260895,62,-78.6965287,35.7267868,50.003,12.193,90,6,10,5,65,66,0.273,2.24
1669260896,63,-78.6965266,35.7267433,50.004,12.193,90,6,10,5,66,67,0,0
1669260897,64,-78.6965246,35.7266998,50.005,12.193,89,6,10,5,67,68,0.327,2.68
1669260898,65,-78.6965225,35.7266562,50.005,12.193,89,6,10,5,68,69,0.399,3.27
1669260899,66,-78.6965205,35.7266127,50.005,12.193,89,6,10,5,69,70,0.181,1.48
1669260900,67,-78.6965185,35.7265691,50.002,12.193,89,6,10,5,70,71,0.216,1.77
1669260901,68,-78.6965164,35.7265256,50.002,12.193,89,6,10,5,71,72,0.204,1.67
1669260902,69,-78.6965144,35.7264821,50.002,12.193,88,6,10,5,72,73,0.171,1.4
1669260903,70,-78.6965123,35.7264386,50.001,12.193,88,6,10,5,73,74,0.16,1.31
1669260904,71,-78.6965103,35.726395,50.001,12.193,88,6,10,5,74,75,0.00283,0.0231
1669260905,72,-78.6965083,35.7263514,50.001,12.193,88,6,10,5,75,76,0,0
1669260906,73,-78.6965062,35.7263078,50.002,12.193,88,6,10,5,76,77,0.0905,0.742
1669260907,74,-78.6965042,35.7262642,50.001,12.193,88,6,10,5,77,78,0.168,1.38
1669260908,75,-78.6965022,35.7262207,50.002,12.193,87,6,10,5,78,79,0.156,1.27
1669260909,76,-78.6965002,35.7261771,50,12.193,87,6,10,5,79,80,0.338,2.77
1669260910,77,-78.6964983,35.7261337,50.001,12.193,87,6,10,5,80,81,0.107,0.88
1669260911,78,-78.6964963,35.7260901,49.998,12.193,87,6,10,5,81,82,0.0863,0.707
1669260912,79,-78.6964943,35.7260466,49.998,12.193,87,6,10,5,82,83,0.0721,0.591
1669260913,80,-78.6964923,35.726003,49.999,12.193,87,6,10,5,83,84,0.0764,0.626
1669260914,81,-78.6964904,35.7259595,50.002,12.193,86,6,10,5,84,85,0.0764,0.626
1669260915,82,-78.6964884,35.7259158,50.001,12.193,86,6,10,5,85,86,0.0594,0.486
1669260916,83,-78.6964864,35.7258724,49.999,12.193,86,6,10,5,86,87,0.0594,0.487
1669260917,84,-78.6964844,35.7258287,50.002,12.193,86,6,10,5,87,88,0.0523,0.429
1669260918,85,-78.6964824,35.7257853,50.002,12.193,86,6,10,5,88,89,0.0537,0.44
1669260919,86,-78.6964805,35.7257417,50.001,12.193,85,6,10,5,89,90,0.0424,0.348
1669260920,87,-78.6964785,35.7256983,50.003,12.193,85,6,10,5,90,91,0.0368,0.301
1669260921,88,-78.6964765,35.7256547,50.004,12.193,85,6,10,5,91,92,0.0325,0.266
1669260922,89,-78.6964745,35.7256113,50.004,12.193,85,6,10,5,92,93,0.0339,0.278
1669260923,90,-78.6964725,35.7255677,50.005,12.193,85,6,10,5,93,94,0.0283,0.232
1669260924,91,-78.6964705,35.7255242,50.005,12.193,85,6,10,5,94,95,0.0269,0.22
1669260925,92,-78.6964685,35.7254807,50.003,12.193,84,6,10,5,95,96,0.0368,0.301
1669260926,93,-78.6964665,35.7254372,50.002,12.193,84,6,10,5,96,97,0.0156,0.127
1669260927,94,-78.6964645,35.7253936,50.002,12.193,84,6,10,5,97,98,0,0
1669260928,95,-78.6964625,35.7253502,50.001,12.193,84,6,10,5,98,99,0,0
1669260929,96,-78.6964605,35.7253067,50.002,12.193,84,6,10,5,99,100,0,0
1669260930,97,-78.6964585,35.7252631,50.001,12.193,83,6,10,5,100,101,0,0
1669260931,98,-78.6964565,35.7252196,50,12.193,83,6,10,5,101,102,0,0
